comparates,FFORMA,CREST,Mediana,ADE,Random Forest (DWT)
FFORMA,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","0.3554
226 / 242 / 212
0.7592 / 0.0000 / 0.2408
0.4045","1.0090
250 / 225 / 205
0.9783 / 0.0000 / 0.0217
0.0392","1.8439
247 / 268 / 165
1.0000 / 0.0000 / 0.0000
0.0001","2.0533
280 / 192 / 208
0.9998 / 0.0000 / 0.0002
0.0003"
CREST,"-0.3554
212 / 242 / 226
0.2430 / 0.0000 / 0.7570
0.4045",-,"0.6536
221 / 255 / 204
0.8547 / 0.0000 / 0.1453
0.3263","1.4886
255 / 207 / 218
0.9917 / 0.0000 / 0.0083
0.0186","1.6979
275 / 172 / 233
0.9937 / 0.0000 / 0.0063
0.0126"
Mediana,"-1.0090
205 / 225 / 250
0.0230 / 0.0000 / 0.9770
0.0392","-0.6536
204 / 255 / 221
0.1413 / 0.0000 / 0.8587
0.3263",-,"0.8350
245 / 209 / 226
0.9186 / 0.0000 / 0.0814
0.1505","1.0443
277 / 176 / 227
0.9798 / 0.0000 / 0.0202
0.0369"
ADE,"-1.8439
165 / 268 / 247
0.0000 / 0.0000 / 1.0000
0.0001","-1.4886
218 / 207 / 255
0.0078 / 0.0000 / 0.9922
0.0186","-0.8350
226 / 209 / 245
0.0845 / 0.0000 / 0.9155
0.1505",-,"0.2093
265 / 160 / 255
0.7511 / 0.0000 / 0.2489
0.4926"
Random Forest (DWT),"-2.0533
208 / 192 / 280
0.0002 / 0.0000 / 0.9998
0.0003","-1.6979
233 / 172 / 275
0.0059 / 0.0000 / 0.9941
0.0126","-1.0443
227 / 176 / 277
0.0204 / 0.0000 / 0.9796
0.0369","-0.2093
255 / 160 / 265
0.2507 / 0.0000 / 0.7493
0.4926","If in bold, then
p-value < 0.05"
