comparates,CREST,Mediana,FFORMA,Random Forest (DWT),ADE
CREST,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0002
287 / 103 / 290
0.0000 / 1.0000 / 0.0000
0.8850","-0.0038
343 / 0 / 337
0.0000 / 1.0000 / 0.0000
0.9639","-0.0051
306 / 0 / 374
0.0000 / 1.0000 / 0.0000
0.0174","-0.0093
299 / 0 / 381
0.0000 / 1.0000 / 0.0000
0.0017"
Mediana,"0.0002
290 / 103 / 287
0.0000 / 1.0000 / 0.0000
0.8850",-,"-0.0036
349 / 0 / 331
0.0000 / 1.0000 / 0.0000
0.7840","-0.0049
312 / 0 / 368
0.0000 / 1.0000 / 0.0000
0.0048","-0.0091
300 / 0 / 380
0.0000 / 1.0000 / 0.0000
0.0002"
FFORMA,"0.0038
337 / 0 / 343
0.0000 / 1.0000 / 0.0000
0.9639","0.0036
331 / 0 / 349
0.0000 / 1.0000 / 0.0000
0.7840",-,"-0.0013
318 / 0 / 362
0.0000 / 1.0000 / 0.0000
0.0644","-0.0055
280 / 0 / 400
0.0000 / 1.0000 / 0.0000
 $\leq$ 1e-04"
Random Forest (DWT),"0.0051
374 / 0 / 306
0.0000 / 1.0000 / 0.0000
0.0174","0.0049
368 / 0 / 312
0.0000 / 1.0000 / 0.0000
0.0048","0.0013
362 / 0 / 318
0.0000 / 1.0000 / 0.0000
0.0644",-,"-0.0042
334 / 0 / 346
0.0062 / 0.8598 / 0.1340
0.2175"
ADE,"0.0093
381 / 0 / 299
0.0000 / 1.0000 / 0.0000
0.0017","0.0091
380 / 0 / 300
0.0000 / 1.0000 / 0.0000
0.0002","0.0055
400 / 0 / 280
0.0000 / 1.0000 / 0.0000
 $\leq$ 1e-04","0.0042
346 / 0 / 334
0.1363 / 0.8577 / 0.0060
0.2175","If in bold, then
p-value < 0.05"
