serie,Random Forest (DWT),Mediana,FFORMA,ADE,CREST
ANP_MONTHLY_0,45.45454545454545,45.45454545454545,63.63636363636363,45.45454545454545,54.54545454545455
ANP_MONTHLY_1,63.63636363636363,72.72727272727273,72.72727272727273,63.63636363636363,81.81818181818181
ANP_MONTHLY_2,72.72727272727273,63.63636363636363,81.81818181818181,81.81818181818181,100.0
ANP_MONTHLY_3,72.72727272727273,81.81818181818181,72.72727272727273,81.81818181818181,72.72727272727273
ANP_MONTHLY_4,63.63636363636363,72.72727272727273,72.72727272727273,72.72727272727273,72.72727272727273
ANP_MONTHLY_5,63.63636363636363,72.72727272727273,72.72727272727273,81.81818181818181,72.72727272727273
ANP_MONTHLY_6,72.72727272727273,63.63636363636363,72.72727272727273,63.63636363636363,81.81818181818181
ANP_MONTHLY_7,54.54545454545455,45.45454545454545,54.54545454545455,45.45454545454545,54.54545454545455
ANP_MONTHLY_8,27.272727272727277,54.54545454545455,72.72727272727273,63.63636363636363,54.54545454545455
ANP_MONTHLY_9,45.45454545454545,81.81818181818181,81.81818181818181,72.72727272727273,90.9090909090909
ANP_MONTHLY_10,81.81818181818181,90.9090909090909,72.72727272727273,81.81818181818181,72.72727272727273
ANP_MONTHLY_11,27.272727272727277,54.54545454545455,36.36363636363637,27.272727272727277,45.45454545454545
ANP_MONTHLY_12,27.272727272727277,0.0,27.272727272727277,18.181818181818183,0.0
ANP_MONTHLY_13,45.45454545454545,63.63636363636363,72.72727272727273,72.72727272727273,81.81818181818181
ANP_MONTHLY_14,45.45454545454545,54.54545454545455,63.63636363636363,63.63636363636363,63.63636363636363
ANP_MONTHLY_15,45.45454545454545,63.63636363636363,63.63636363636363,63.63636363636363,81.81818181818181
ANP_MONTHLY_16,63.63636363636363,36.36363636363637,63.63636363636363,36.36363636363637,90.9090909090909
ANP_MONTHLY_17,81.81818181818181,63.63636363636363,81.81818181818181,81.81818181818181,72.72727272727273
ANP_MONTHLY_18,9.090909090909092,54.54545454545455,36.36363636363637,45.45454545454545,54.54545454545455
ANP_MONTHLY_19,63.63636363636363,72.72727272727273,63.63636363636363,63.63636363636363,63.63636363636363
ANP_MONTHLY_20,63.63636363636363,81.81818181818181,81.81818181818181,72.72727272727273,90.9090909090909
ANP_MONTHLY_21,72.72727272727273,63.63636363636363,81.81818181818181,72.72727272727273,72.72727272727273
ANP_MONTHLY_22,54.54545454545455,54.54545454545455,36.36363636363637,45.45454545454545,36.36363636363637
ANP_MONTHLY_23,81.81818181818181,90.9090909090909,90.9090909090909,90.9090909090909,90.9090909090909
ANP_MONTHLY_24,72.72727272727273,72.72727272727273,72.72727272727273,72.72727272727273,72.72727272727273
ANP_MONTHLY_25,63.63636363636363,54.54545454545455,54.54545454545455,63.63636363636363,36.36363636363637
ANP_MONTHLY_26,18.181818181818183,27.272727272727277,45.45454545454545,36.36363636363637,45.45454545454545
ANP_MONTHLY_27,54.54545454545455,81.81818181818181,72.72727272727273,63.63636363636363,72.72727272727273
ANP_MONTHLY_28,100.0,100.0,100.0,100.0,90.9090909090909
ANP_MONTHLY_29,63.63636363636363,63.63636363636363,45.45454545454545,45.45454545454545,63.63636363636363
ANP_MONTHLY_30,27.272727272727277,72.72727272727273,63.63636363636363,63.63636363636363,63.63636363636363
ANP_MONTHLY_31,45.45454545454545,45.45454545454545,54.54545454545455,54.54545454545455,63.63636363636363
ANP_MONTHLY_32,54.54545454545455,36.36363636363637,54.54545454545455,72.72727272727273,27.272727272727277
ANP_MONTHLY_33,36.36363636363637,54.54545454545455,72.72727272727273,63.63636363636363,54.54545454545455
ANP_MONTHLY_34,54.54545454545455,45.45454545454545,45.45454545454545,45.45454545454545,54.54545454545455
ANP_MONTHLY_35,45.45454545454545,45.45454545454545,54.54545454545455,45.45454545454545,45.45454545454545
ANP_MONTHLY_36,81.81818181818181,72.72727272727273,72.72727272727273,63.63636363636363,72.72727272727273
