DATA;MCPM;UF;PRODUCT;MODEL;SIMILAR-STATES;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
normal;39341.64484954683;CE;glp;VARMA;['PB', 'PI', 'RN', 'CE'];(13, 14);12;12;2178.450578502509;0.03912535381267505;58.333333333333336;3.6439873018585742;43499.29853036232;40948.68797784125;42146.39587738885;43036.1290003591;41321.1514252808;45326.43512950867;42647.60040018737;41745.15391186923;42440.87452415168;41738.81581681683;42798.81968152097;40985.008475915936
serie-desnormalizada;22742.315808189316;CE;glp;VARMA;['PE', 'GO', 'PA', 'CE'];(12, 14);12;12;2097.932613803622;0.03429843691237918;75.0;3.1446950162391385;43208.820012924254;41381.12484449047;42766.52378435832;43387.61408386429;43319.213287176935;44473.84150704677;43625.481098605924;41682.71127058757;41963.66813325614;43508.12059148399;42224.36783151742;39728.49790597371
