DATA;MCPM;UF;PRODUCT;MODEL;SIMILAR-STATES;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
normal;17351.995550736687;PB;glp;VARMA;['RN', 'PE', 'AL', 'PB'];(9, 10);12;12;1200.4275676491764;0.047387588438697864;66.66666666666667;4.815655691142665;20999.27036607209;19794.22031841987;20847.493676556867;20886.443856628357;20970.48237450233;21348.44276425652;21039.63203183581;20471.503636565783;19744.417561782935;20306.873215180934;19595.90218542034;18991.51575336276
serie-desnormalizada;25523.982829886903;PB;glp;VARMA;['RN', 'MA', 'MT', 'PB'];(8, 10);12;12;1412.7533358577755;0.05527365063703041;58.333333333333336;5.592059693332949;20521.305157345418;19965.238821955092;20765.547501023662;21378.522740822988;20446.736997384523;21341.92122785717;20633.351279660557;20135.16598726054;19353.358131520494;19714.85176318313;19532.88137170258;19208.920597840068
