DATA;MCPM;UF;PRODUCT;MODEL;SIMILAR-STATES;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
normal;15726.952190046091;PE;glp;VARMA;['RN', 'BA', 'PB', 'PE'];(9, 10);12;12;2174.17076818802;0.03818670006756845;83.33333333333333;3.6289436921977685;43919.67516327952;42393.75012886556;45650.93913621127;44797.41273520305;45312.88376632344;47506.08961813828;46890.59325703321;45680.616276560286;42492.95628131099;45627.24455428222;44071.059804010954;40409.96253760877
serie-desnormalizada;15346.609268366326;PE;glp;VARMA;['GO', 'SC', 'CE', 'PE'];(13, 13);12;12;2121.765007433976;0.03681475822262196;83.33333333333333;3.2193975517273343;46234.16339858519;40012.52899994275;44452.610082750136;44480.745103069414;45295.60983268769;51216.69685498428;45298.23603542324;45223.35682235759;44627.5802655987;44488.25676147632;43067.97607950812;42627.952874233255
