DATA;MCPM;UF;PRODUCT;MODEL;SIMILAR-STATES;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
normal;17192.626212903946;ES;glp;VARMA;['MG', 'BA', 'PE', 'ES'];(11, 12);12;12;952.0982940857245;0.03411997419320786;58.333333333333336;2.493227020454118;21537.468749798303;21182.455883959425;23786.95693459553;22959.969675016553;23098.96720507905;23718.228016787187;22064.826261465096;22841.635948820316;20495.110535818952;21669.146097805817;20847.38707286473;19796.52929066551
serie-desnormalizada;16385.821480717226;ES;glp;VARMA;['PB', 'MT', 'MA', 'ES'];(8, 10);12;12;907.4242506824462;0.033811294702239536;58.333333333333336;1.4041908651057995;22727.32873137968;20901.827602832516;23035.74297901671;23424.232982168982;22234.63178783294;24225.47364608882;21776.71439286653;21684.14181349259;21916.35034473013;22091.011187046515;21849.78638788453;21079.99508709349
