DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
hybrid1;41008.32752838847;RJ;glp;HYBRID;{'p': 14, 'd': 0, 'q': 13};12;12;3781.6832182499393;0.042713113898651435;75.0;-4.300680556194053;81703.6291435502;77176.63496940938;80093.9809092131;87001.56319297804;85759.01007995856;85363.72679053951;82054.65956414978;81834.4704827968;78935.25847087408;87483.77375076177;73774.58388133174;70140.837524561
half-arima-hybrid1;54969.72973245055;RJ;glp;HYBRID;{'p': 14, 'd': 0, 'q': 13};12;12;3803.5827081638045;0.04197713981136305;66.66666666666667;-3.8743701942165205;80291.23330920495;75933.52739752947;83766.42622062172;80853.65194897282;85243.30236186818;87040.29851256442;82054.65956414978;81834.4704827968;78935.25847087408;87483.77375076177;73774.58388133174;70140.837524561
half-arima_mean-hybrid1;58948.068044477695;RJ;glp;HYBRID;{'p': 14, 'd': 0, 'q': 13};12;12;4078.6062810857725;0.04406414706477096;66.66666666666667;-4.444710616822132;79596.00067786152;76467.83998341134;84134.98527845806;82991.65772324808;86619.8782613122;88629.49353774908;82054.65956414978;81834.4704827968;78935.25847087408;87483.77375076177;73774.58388133174;70140.837524561
