dataset,dataset_index,score_final,melhor_score_semeado,diferenca
ANP_MONTHLY,39,0.603836,0.6038,3.6000000000036e-05
ANP_MONTHLY,40,0.620926,0.6557,-0.03477399999999997
ANP_MONTHLY,41,0.578353,0.5795,-0.0011470000000000091
ANP_MONTHLY,42,0.684848,0.6848,4.8000000000048004e-05
ANP_MONTHLY,43,0.549583,0.5545,-0.004916999999999949
ANP_MONTHLY,44,0.632593,0.6326,-7.000000000090267e-06
ANP_MONTHLY,45,0.564644,0.6788,-0.11415599999999992
ANP_MONTHLY,46,0.644557,0.6446,-4.2999999999904226e-05
ANP_MONTHLY,47,0.563004,0.6025,-0.03949600000000009
ANP_MONTHLY,48,0.707487,0.7075,-1.3000000000040757e-05
ANP_MONTHLY,49,0.595256,0.5953,-4.4000000000044004e-05
ANP_MONTHLY,50,0.664724,0.6796,-0.014876
ANP_MONTHLY,51,0.669554,0.6761,-0.006546000000000052
ANP_MONTHLY,52,0.558921,0.589,-0.030078999999999967
ANP_MONTHLY,53,0.599093,0.5991,-6.999999999979245e-06
ANP_MONTHLY,54,0.553373,0.6421,-0.088727
ANP_MONTHLY,55,0.627347,0.6527,-0.02535299999999996
ANP_MONTHLY,56,0.567327,0.6161,-0.048772999999999955
ANP_MONTHLY,57,0.671784,0.6718,-1.599999999990498e-05
ANP_MONTHLY,58,0.71459,0.7212,-0.006610000000000005
ANP_MONTHLY,59,0.674829,0.6748,2.9000000000056758e-05
ANP_MONTHLY,60,0.654545,0.6545,4.500000000007276e-05
ANP_MONTHLY,61,0.616492,0.6364,-0.019907999999999926
ANP_MONTHLY,62,0.662529,0.6693,-0.0067709999999999715
ANP_MONTHLY,63,0.522482,0.5629,-0.040417999999999954
ANP_MONTHLY,64,0.648485,0.6485,-1.4999999999987246e-05
ANP_MONTHLY,65,0.583138,0.5949,-0.01176199999999994
ANP_MONTHLY,66,0.684848,0.6848,4.8000000000048004e-05
ANP_MONTHLY,67,0.567509,0.602,-0.03449099999999994
ANP_MONTHLY,68,0.633851,0.646,-0.012148999999999965
ANP_MONTHLY,69,0.600447,0.6004,4.6999999999908226e-05
ANP_MONTHLY,70,0.709424,0.7094,2.4000000000024002e-05
ANP_MONTHLY,71,0.622354,0.6573,-0.03494600000000003
ANP_MONTHLY,72,0.684848,0.6848,4.8000000000048004e-05
ANP_MONTHLY,73,0.635073,0.6381,-0.003027000000000002
ANP_MONTHLY,74,0.6686,0.6686,0.0
ANP_MONTHLY,75,0.629743,0.6521,-0.02235699999999996
ANP_MONTHLY,76,0.577573,0.6667,-0.08912699999999996
ANP_MONTHLY,77,0.592488,0.5925,-1.2000000000012001e-05
ANP_MONTHLY,78,0.672111,0.6721,1.0999999999983245e-05
ANP_MONTHLY,79,0.602608,0.6279,-0.02529199999999998
ANP_MONTHLY,80,0.564939,0.5649,3.900000000001125e-05
ANP_MONTHLY,81,0.609905,0.6606,-0.050694999999999935
ANP_MONTHLY,82,0.648691,0.6715,-0.022808999999999968
ANP_MONTHLY,83,0.649121,0.6545,-0.005379000000000023
ANP_MONTHLY,84,0.612303,0.6286,-0.016297000000000006
ANP_MONTHLY,85,0.695703,0.7212,-0.025496999999999992
ANP_MONTHLY,86,0.710563,0.7106,-3.700000000006476e-05
ANP_MONTHLY,87,0.654545,0.6545,4.500000000007276e-05
ANP_MONTHLY,88,0.59634,0.6404,-0.04405999999999999
ANP_MONTHLY,89,0.602389,0.6715,-0.06911100000000003
ANP_MONTHLY,90,0.660186,0.6602,-1.399999999995849e-05
ANP_MONTHLY,91,0.561519,0.571,-0.009480999999999962
ANP_MONTHLY,92,0.578226,0.6279,-0.049673999999999996
ANP_MONTHLY,93,0.700993,0.7394,-0.03840699999999997
ANP_MONTHLY,94,0.616544,0.6606,-0.044055999999999984
ANP_MONTHLY,95,0.623297,0.6376,-0.014302999999999955
ANP_MONTHLY,96,0.516485,0.6479,-0.13141500000000006
ANP_MONTHLY,97,0.627699,0.6456,-0.017900999999999945
ANP_MONTHLY,98,0.654308,0.7036,-0.049292
ANP_MONTHLY,99,0.642424,0.6424,2.4000000000024002e-05
ANP_MONTHLY,100,0.678556,0.7016,-0.023043999999999953
ANP_MONTHLY,101,0.547122,0.5471,2.199999999996649e-05
ANP_MONTHLY,102,0.637469,0.6481,-0.010631000000000057
ANP_MONTHLY,103,0.62032,0.6364,-0.016079999999999983
ANP_MONTHLY,104,0.490098,0.4943,-0.004202000000000039
ANP_MONTHLY,105,0.642598,0.6731,-0.03050200000000003
ANP_MONTHLY,106,0.606563,0.6151,-0.008537000000000017
ANP_MONTHLY,107,0.523085,0.608,-0.08491499999999996
ANP_MONTHLY,108,0.574222,0.6397,-0.06547800000000004
ANP_MONTHLY,109,0.604812,0.6209,-0.01608799999999999
ANP_MONTHLY,110,0.580225,0.6412,-0.060975
ANP_MONTHLY,111,0.687803,0.6974,-0.009596999999999967
ANP_MONTHLY,112,0.622235,0.6222,3.500000000000725e-05
ANP_MONTHLY,113,0.65835,0.6789,-0.020549999999999957
ANP_MONTHLY,114,0.645638,0.6625,-0.016861999999999933
ANP_MONTHLY,115,0.626497,0.6487,-0.022203000000000084
