DATA;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
median;AM;gasolinac;knn_rf_deepar_svr_catboost_arima;{};12;12;3983.845522258754;0.0635181342977867;63.63636363636363;-4.757232517439943;0.5824867492724881;48824.592125031835;50110.69356364121;52014.42361329742;52218.399946187914;56074.21253328867;56111.67196106572;57259.43759228952;57440.330037465;55652.56451001548;57388.309801746815;52045.48609793547;51353.617867845765
mean;AM;gasolinac;knn_rf_deepar_svr_catboost_arima;{};12;12;3887.85610729346;0.058960592204817565;54.54545454545455;-4.211463191036613;0.5382052665378287;48076.02106906729;48951.449775669986;51989.30497648715;52662.67625556279;55525.538452112254;56213.9222760724;56554.2419973932;57562.84582370381;54907.8239584942;57675.51746898023;51069.241672883196;51937.02138666958
softdtw_barycenter;AM;gasolinac;knn_rf_deepar_svr_catboost_arima;{};12;12;4139.763264315113;0.06690996969562533;63.63636363636363;-4.3401689044990395;0.6121570816737395;47543.17765403318;50750.64862705981;51239.361366962454;51731.19144926522;54847.36274713798;56985.55544713549;56146.322945756125;58905.65981217731;55528.908590189356;57094.38240016577;51210.30092813865;51937.02138666958
DBA_subgradient;AM;gasolinac;knn_rf_deepar_svr_catboost_arima;{};12;12;4044.901487359714;0.06349946974139549;54.54545454545455;-4.335747129755042;0.5808805902606948;47605.057122706006;49575.66455913748;51601.28335858939;52322.77305920324;55706.88999100559;56454.66962555407;56505.32186193931;58247.017326922134;54987.63401710539;57988.02302582664;51107.787126450574;51790.48395254867
DBA;AM;gasolinac;knn_rf_deepar_svr_catboost_arima;{};12;12;4132.519198644586;0.06655038683766736;63.63636363636363;-4.326776854108381;0.6088797489333703;47514.43466274216;50721.40305615051;51458.23489166644;51607.56484902527;54860.702723217095;56970.39127787436;56051.3591987184;58970.302401386885;55414.917955740086;57111.846115452245;51219.067781228136;51937.02138666957
EBA_twe;AM;gasolinac;knn_rf_deepar_svr_catboost_arima;{};12;12;3923.130364251869;0.062393518519088365;63.63636363636363;-3.496639813804756;0.5718852193711799;48216.53424902428;48104.19244467019;50275.975112420616;52084.375420752105;55334.60189027707;55805.300596734014;55849.94888970964;57815.24870148455;54402.95946086307;57818.778723252944;51069.241672883196;51937.02138666957
