dataset,regressor,mape,smape,rmse,pocid,n_series,n_series_mape,agent_model
ANP_MONTHLY,CREST,0.3830410299207882,0.22107492727295386,6718.393533774073,64.48551448551449,182,177,gemma4:26b
NN5_WEEKLY_DATASET,CREST,0.12305666108804485,0.11848834970917674,18.50977386858052,45.30244530244529,111,111,gemma4:26b
M4_WEEKLY_DATASET,CREST,0.09880441193500357,0.0977052012850953,475.73681530870226,58.77437325905292,359,359,gemma4:26b
ETTH1,CREST,0.3575703732479236,0.2503556705739091,3.0975178959759804,63.975155279503106,7,7,gemma4:26b
ETTH2,CREST,0.09859039900535864,0.17993457582976893,2.5552649784627506,55.279503105590074,7,6,gemma4:26b
ETTM1,CREST,0.3787861261909353,0.4593521456167646,2.259227288582936,55.27950310559006,7,6,gemma4:26b
ETTM2,CREST,0.17502871606148088,0.20193540920251346,3.5324561540045925,44.72049689440994,7,7,gemma4:26b
