DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;R2;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
normal;65834.09805594517;MG;oleocombustivel;SARIMA;{'p': 2, 'd': 1, 'q': 2, 's': 12};12;12;3023.744104439209;0.27657855923543034;50.0;-26.000759631742326;-;13873.898394972408;13023.241652167551;13369.845072912369;13513.753118023424;13778.561765263074;14553.149481244514;13303.488569916075;13207.907773697361;12484.282296577012;12173.054803951389;11750.708797367524;10993.02317488676;-8.150877968208531;9.703823594663681e-13;1;395;-3.447014064067954;-2.8688850015516016;-2.5706826870693797;True
deseasonal;74262.78723612198;MG;oleocombustivel;SARIMA;{'p': 2, 'd': 1, 'q': 2, 's': 12};12;12;3409.635551804802;0.29505512955406027;50.0;-27.58603104994676;-;14491.987701352486;13189.849333834427;14236.682842470602;14610.746653480826;14093.49756821919;15835.970976813844;13414.191066716443;13256.330457248308;11679.25473825257;11833.19479458179;10788.611955723409;10557.615438865272;-8.368283386975786;2.705390537444172e-13;1;395;-3.447014064067954;-2.8688850015516016;-2.5706826870693797;True
deseasonal-log;70377.37780204989;MG;oleocombustivel;SARIMA;{'p': 2, 'd': 1, 'q': 2, 's': 12};12;12;3231.905902855692;0.2846812067026103;50.0;-24.395116431521323;-;13895.588940959484;13153.320823157781;13997.439014119947;14568.848809973839;14210.17587903285;15407.324421945235;13228.243976596586;12807.013802434387;11369.19890569481;11413.923316522478;10383.909877807397;9601.682423670973;-8.517358124325574;1.1246378945611455e-13;1;395;-3.447014064067954;-2.8688850015516016;-2.5706826870693797;True
deseasonal-diff;169494.48506401302;MG;oleocombustivel;SARIMA;{'p': 4, 'd': 1, 'q': 6, 's': 12};12;12;6636.678551947506;0.640949439381286;41.666666666666664;-62.339051681179704;-;14312.378452700097;14408.270018174953;15609.033971567282;15944.500371765678;15735.37115893513;17196.32400515919;16967.253932931453;18258.060794737787;17472.101013346008;18418.220674503333;17666.584980136988;19033.996029988062;-8.144173743239966;1.0092950050578985e-12;11;385;-3.4474498334928687;-2.8690765390453703;-2.570784795075055;True
diff;75719.549954179;MG;oleocombustivel;SARIMA;{'p': 4, 'd': 1, 'q': 1, 's': 12};12;12;4155.915588360774;0.4058671342955884;58.333333333333336;-39.19324699552358;-;14207.943471196151;13002.905143482152;13807.578699214899;14326.818132706474;15257.682397254655;16031.867215660575;14926.70583576212;15184.771550086745;13815.902458682735;14232.648912619796;13470.286709725375;14095.870318016196;-8.92465621178971;1.0189948388670347e-14;10;386;-3.447405233596701;-2.8690569369014605;-2.5707743450830893;True
log;62384.719226865076;MG;oleocombustivel;SARIMA;{'p': 2, 'd': 1, 'q': 2, 's': 12};12;12;2866.2383039586325;0.2604116943517903;50.0;-24.36799254678544;-;13510.108884714387;12954.608719246717;13177.361247515119;13359.717457049846;13462.563171300684;14325.931707147489;13188.879369816199;12994.434528894593;12314.023893858666;12057.98510641556;11582.336336397693;11075.132656115456;-8.264535670427723;4.979273974988033e-13;1;395;-3.447014064067954;-2.8688850015516016;-2.5706826870693797;True
log-diff;84538.46194905814;MG;oleocombustivel;SARIMA;{'p': 4, 'd': 1, 'q': 1, 's': 12};12;12;4634.742115939857;0.453116979361701;58.333333333333336;-43.94048428867301;-;14111.852735069613;13141.065350318839;13954.844915280622;14642.699551748698;15671.643630098684;16432.543339519198;15490.838298860577;15817.36572505226;14497.279449214124;15131.134198899932;14196.575164558373;15151.573638425532;-9.155285311273802;2.61988535116953e-15;10;386;-3.447405233596701;-2.8690569369014605;-2.5707743450830893;True
