comparates,CREST sem agente,CREST
CREST sem agente,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0007
142 / 373 / 165
0.0000 / 1.0000 / 0.0000
0.1403"
CREST,"0.0007
165 / 373 / 142
0.0000 / 1.0000 / 0.0000
0.1403","If in bold, then
p-value < 0.05"
