dataset,regressor,mape,smape,rmse,pocid,n_series,n_series_mape
ANP_MONTHLY,CREST_sem_agente,0.39440805319241923,0.21966241795538657,6278.233131512723,64.53546453546454,182,177
NN5_WEEKLY_DATASET,CREST_sem_agente,0.1207289432692397,0.11568113798786095,18.23148923242821,46.33204633204632,111,111
M4_WEEKLY_DATASET,CREST_sem_agente,0.09009848135413837,0.09137810291995845,422.31370177741707,59.401114206128135,359,359
ETTH1,CREST_sem_agente,0.23905461700726247,0.226229081125681,1.3877014164706047,61.49068322981366,7,7
ETTH2,CREST_sem_agente,0.09859039900535864,0.17993457582976893,2.5552649784627506,55.279503105590074,7,6
ETTM1,CREST_sem_agente,0.37898449659135386,0.4603816832487073,2.2597887676447566,55.279503105590074,7,6
ETTM2,CREST_sem_agente,0.17602211144066984,0.2030038993535701,3.535415716583997,45.3416149068323,7,7
