dataset,dataset_index,origin_v5,estrategia_v5,estrategia_base,mesma_estrategia,smape_v5,smape_base,dsmape,base_vencedor_dba,max_dif_previsao
ANP_MONTHLY,0,baseline,"{""combine"": ""mean"", ""pool"": ""pool_full""}","{""combine"": ""dba"", ""dba_max_iter"": 30, ""pool"": ""pool_full""}",False,0.3377401935342505,0.36216157748784,-0.024421383953589504,True,604.0210422438176
ANP_MONTHLY,1,agent,"{""combine"": ""weighted"", ""pool"": ""pool1"", ""weights"": ""w4""}","{""combine"": ""weighted"", ""pool"": ""pool_full"", ""weights"": ""w1""}",False,0.1566219068398975,0.1324749615999798,0.0241469452399177,False,685.2186438682584
ANP_MONTHLY,2,baseline,"{""combine"": ""weighted"", ""pool"": ""pool_full"", ""weights"": ""w1""}","{""combine"": ""weighted"", ""pool"": ""pool_full"", ""weights"": ""w1""}",True,0.0298165239566226,0.0298165239566226,0.0,False,0.0
ANP_MONTHLY,3,agent,"{""combine"": ""weighted"", ""pool"": ""pool4"", ""weights"": ""w2""}","{""combine"": ""weighted"", ""pool"": ""pool_full"", ""weights"": ""w1""}",False,0.326974042513407,0.3163544120858921,0.010619630427514903,False,276.13466585973856
ANP_MONTHLY,4,baseline,"{""combine"": ""weighted"", ""pool"": ""pool_full"", ""weights"": ""w1""}","{""combine"": ""weighted"", ""pool"": ""pool_full"", ""weights"": ""w1""}",True,0.0554574084768099,0.0554574084768099,0.0,False,0.0
ANP_MONTHLY,5,baseline,"{""combine"": ""median"", ""pool"": ""pool_full""}","{""combine"": ""median"", ""pool"": ""pool_full""}",True,0.2077029886866983,0.2077029886866983,0.0,False,0.0
ANP_MONTHLY,6,baseline,"{""combine"": ""weighted"", ""pool"": ""pool_full"", ""weights"": ""w1""}","{""combine"": ""weighted"", ""pool"": ""pool_full"", ""weights"": ""w1""}",True,0.5165176940007322,0.5165176940007322,0.0,False,0.0
ANP_MONTHLY,7,baseline,"{""combine"": ""weighted"", ""pool"": ""pool_full"", ""weights"": ""w1""}","{""combine"": ""weighted"", ""pool"": ""pool_full"", ""weights"": ""w1""}",True,0.179748381609737,0.179748381609737,0.0,False,0.0
ANP_MONTHLY,8,baseline,"{""combine"": ""median"", ""pool"": ""pool_full""}","{""combine"": ""median"", ""pool"": ""pool_full""}",True,0.5178248187637454,0.5178248187637454,0.0,False,0.0
ANP_MONTHLY,9,baseline,"{""combine"": ""weighted"", ""pool"": ""pool_full"", ""weights"": ""w1""}","{""combine"": ""weighted"", ""pool"": ""pool_full"", ""weights"": ""w1""}",True,0.0310589985168487,0.0310589985168487,0.0,False,0.0
