serie,CREST,CREST sem agente
ANP_MONTHLY_142,72.72727272727273,72.72727272727273
ANP_MONTHLY_143,45.45454545454545,45.45454545454545
ANP_MONTHLY_144,81.81818181818181,81.81818181818181
ANP_MONTHLY_145,54.54545454545455,54.54545454545455
ANP_MONTHLY_146,63.63636363636363,72.72727272727273
ANP_MONTHLY_147,90.9090909090909,90.9090909090909
ANP_MONTHLY_148,100.0,100.0
ANP_MONTHLY_149,45.45454545454545,45.45454545454545
ANP_MONTHLY_150,63.63636363636363,63.63636363636363
ANP_MONTHLY_151,63.63636363636363,63.63636363636363
ANP_MONTHLY_152,81.81818181818181,81.81818181818181
ANP_MONTHLY_153,72.72727272727273,72.72727272727273
ANP_MONTHLY_154,90.9090909090909,90.9090909090909
ANP_MONTHLY_155,63.63636363636363,54.54545454545455
ANP_MONTHLY_156,36.36363636363637,36.36363636363637
ANP_MONTHLY_157,81.81818181818181,81.81818181818181
ANP_MONTHLY_158,63.63636363636363,72.72727272727273
ANP_MONTHLY_159,90.9090909090909,90.9090909090909
ANP_MONTHLY_160,72.72727272727273,72.72727272727273
ANP_MONTHLY_161,72.72727272727273,72.72727272727273
ANP_MONTHLY_162,72.72727272727273,72.72727272727273
ANP_MONTHLY_163,63.63636363636363,63.63636363636363
ANP_MONTHLY_164,63.63636363636363,72.72727272727273
ANP_MONTHLY_165,63.63636363636363,63.63636363636363
ANP_MONTHLY_166,54.54545454545455,63.63636363636363
ANP_MONTHLY_167,36.36363636363637,36.36363636363637
ANP_MONTHLY_168,63.63636363636363,63.63636363636363
ANP_MONTHLY_169,72.72727272727273,72.72727272727273
ANP_MONTHLY_170,63.63636363636363,63.63636363636363
ANP_MONTHLY_171,72.72727272727273,81.81818181818181
ANP_MONTHLY_172,72.72727272727273,72.72727272727273
ANP_MONTHLY_173,54.54545454545455,54.54545454545455
ANP_MONTHLY_174,54.54545454545455,63.63636363636363
ANP_MONTHLY_175,81.81818181818181,81.81818181818181
ANP_MONTHLY_176,81.81818181818181,81.81818181818181
ANP_MONTHLY_177,72.72727272727273,72.72727272727273
ANP_MONTHLY_178,81.81818181818181,45.45454545454545
ANP_MONTHLY_179,45.45454545454545,45.45454545454545
ANP_MONTHLY_180,81.81818181818181,90.9090909090909
ANP_MONTHLY_181,63.63636363636363,63.63636363636363
NN5_WEEKLY_DATASET_0,42.85714285714285,14.285714285714286
NN5_WEEKLY_DATASET_1,28.571428571428573,28.571428571428573
NN5_WEEKLY_DATASET_2,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_3,14.285714285714286,28.571428571428573
NN5_WEEKLY_DATASET_4,28.571428571428573,42.85714285714285
NN5_WEEKLY_DATASET_5,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_6,14.285714285714286,14.285714285714286
NN5_WEEKLY_DATASET_7,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_8,57.142857142857146,57.142857142857146
NN5_WEEKLY_DATASET_9,28.571428571428573,28.571428571428573
NN5_WEEKLY_DATASET_10,57.142857142857146,71.42857142857143
NN5_WEEKLY_DATASET_11,14.285714285714286,14.285714285714286
NN5_WEEKLY_DATASET_12,28.571428571428573,28.571428571428573
NN5_WEEKLY_DATASET_13,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_14,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_15,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_16,57.142857142857146,57.142857142857146
NN5_WEEKLY_DATASET_17,57.142857142857146,57.142857142857146
NN5_WEEKLY_DATASET_18,28.571428571428573,28.571428571428573
NN5_WEEKLY_DATASET_19,85.71428571428571,85.71428571428571
NN5_WEEKLY_DATASET_20,71.42857142857143,71.42857142857143
NN5_WEEKLY_DATASET_21,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_22,71.42857142857143,71.42857142857143
NN5_WEEKLY_DATASET_23,28.571428571428573,28.571428571428573
NN5_WEEKLY_DATASET_24,57.142857142857146,71.42857142857143
NN5_WEEKLY_DATASET_25,28.571428571428573,28.571428571428573
NN5_WEEKLY_DATASET_26,28.571428571428573,71.42857142857143
