dataset,dataset_index,iteration,tipo,limite,tamanho,dispara,antigo_json_valido,antigo_corte,atual_json_valido,atual_string_inteira_valida,atual_cabe_no_limite,atual_fallback_nota,atual_tem_marcador_antigo
ANP_MONTHLY,10,5,series_card,1800,698,False,,,,,,,
ANP_MONTHLY,10,5,pool_card,1800,1301,False,,,,,,,
ANP_MONTHLY,10,5,dataset_card,900,766,False,,,,,,,
ANP_MONTHLY,10,5,diagnosis,700,479,False,,,,,,,
ANP_MONTHLY,10,5,historico,320,315,False,,,,,,,
ANP_MONTHLY,10,5,historico,320,290,False,,,,,,,
ANP_MONTHLY,10,5,historico,320,291,False,,,,,,,
ANP_MONTHLY,10,5,historico,320,315,False,,,,,,,
ANP_MONTHLY,10,5,historico,320,290,False,,,,,,,
ANP_MONTHLY,10,5,historico,320,377,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,5,historico,320,316,False,,,,,,,
ANP_MONTHLY,10,5,historico,320,244,False,,,,,,,
ANP_MONTHLY,10,5,historico,320,238,False,,,,,,,
ANP_MONTHLY,10,5,historico,320,241,False,,,,,,,
ANP_MONTHLY,10,5,handles,600,476,False,,,,,,,
ANP_MONTHLY,10,5,scratchpad_args,120,42,False,,,,,,,
ANP_MONTHLY,10,5,scratchpad_args,120,54,False,,,,,,,
ANP_MONTHLY,10,5,scratchpad_args,120,230,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,5,scratchpad_args,120,7,False,,,,,,,
ANP_MONTHLY,10,5,ultima_observacao,1400,245,False,,,,,,,
ANP_MONTHLY,10,6,series_card,1800,698,False,,,,,,,
ANP_MONTHLY,10,6,pool_card,1800,1301,False,,,,,,,
ANP_MONTHLY,10,6,dataset_card,900,766,False,,,,,,,
ANP_MONTHLY,10,6,diagnosis,700,479,False,,,,,,,
ANP_MONTHLY,10,6,historico,320,315,False,,,,,,,
ANP_MONTHLY,10,6,historico,320,290,False,,,,,,,
ANP_MONTHLY,10,6,historico,320,291,False,,,,,,,
ANP_MONTHLY,10,6,historico,320,315,False,,,,,,,
ANP_MONTHLY,10,6,historico,320,290,False,,,,,,,
ANP_MONTHLY,10,6,historico,320,377,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,6,historico,320,316,False,,,,,,,
ANP_MONTHLY,10,6,historico,320,244,False,,,,,,,
ANP_MONTHLY,10,6,historico,320,238,False,,,,,,,
ANP_MONTHLY,10,6,historico,320,241,False,,,,,,,
ANP_MONTHLY,10,6,handles,600,572,False,,,,,,,
ANP_MONTHLY,10,6,scratchpad_args,120,42,False,,,,,,,
ANP_MONTHLY,10,6,scratchpad_args,120,54,False,,,,,,,
ANP_MONTHLY,10,6,scratchpad_args,120,230,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,6,scratchpad_args,120,7,False,,,,,,,
ANP_MONTHLY,10,6,scratchpad_args,120,16,False,,,,,,,
ANP_MONTHLY,10,6,ultima_observacao,1400,379,False,,,,,,,
ANP_MONTHLY,10,7,series_card,1800,698,False,,,,,,,
ANP_MONTHLY,10,7,pool_card,1800,1301,False,,,,,,,
ANP_MONTHLY,10,7,dataset_card,900,766,False,,,,,,,
ANP_MONTHLY,10,7,diagnosis,700,479,False,,,,,,,
ANP_MONTHLY,10,7,historico,320,315,False,,,,,,,
ANP_MONTHLY,10,7,historico,320,290,False,,,,,,,
ANP_MONTHLY,10,7,historico,320,291,False,,,,,,,
ANP_MONTHLY,10,7,historico,320,315,False,,,,,,,
ANP_MONTHLY,10,7,historico,320,290,False,,,,,,,
ANP_MONTHLY,10,7,historico,320,377,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,7,historico,320,316,False,,,,,,,
ANP_MONTHLY,10,7,historico,320,244,False,,,,,,,
ANP_MONTHLY,10,7,historico,320,238,False,,,,,,,
ANP_MONTHLY,10,7,historico,320,241,False,,,,,,,
ANP_MONTHLY,10,7,handles,600,660,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,7,scratchpad_args,120,42,False,,,,,,,
ANP_MONTHLY,10,7,scratchpad_args,120,54,False,,,,,,,
ANP_MONTHLY,10,7,scratchpad_args,120,230,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,7,scratchpad_args,120,7,False,,,,,,,
ANP_MONTHLY,10,7,scratchpad_args,120,16,False,,,,,,,
ANP_MONTHLY,10,7,scratchpad_args,120,16,False,,,,,,,
ANP_MONTHLY,10,7,ultima_observacao,1400,380,False,,,,,,,
ANP_MONTHLY,10,8,series_card,1800,698,False,,,,,,,
ANP_MONTHLY,10,8,pool_card,1800,1301,False,,,,,,,
ANP_MONTHLY,10,8,dataset_card,900,766,False,,,,,,,
ANP_MONTHLY,10,8,diagnosis,700,479,False,,,,,,,
ANP_MONTHLY,10,8,historico,320,315,False,,,,,,,
ANP_MONTHLY,10,8,historico,320,290,False,,,,,,,
ANP_MONTHLY,10,8,historico,320,291,False,,,,,,,
ANP_MONTHLY,10,8,historico,320,315,False,,,,,,,
ANP_MONTHLY,10,8,historico,320,290,False,,,,,,,
ANP_MONTHLY,10,8,historico,320,377,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,8,historico,320,316,False,,,,,,,
ANP_MONTHLY,10,8,historico,320,244,False,,,,,,,
ANP_MONTHLY,10,8,historico,320,238,False,,,,,,,
ANP_MONTHLY,10,8,historico,320,241,False,,,,,,,
ANP_MONTHLY,10,8,handles,600,660,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,8,scratchpad_args,120,54,False,,,,,,,
ANP_MONTHLY,10,8,scratchpad_args,120,230,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,8,scratchpad_args,120,7,False,,,,,,,
ANP_MONTHLY,10,8,scratchpad_args,120,16,False,,,,,,,
ANP_MONTHLY,10,8,scratchpad_args,120,16,False,,,,,,,
ANP_MONTHLY,10,8,scratchpad_args,120,238,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,8,ultima_observacao,1400,97,False,,,,,,,
ANP_MONTHLY,10,9,series_card,1800,698,False,,,,,,,
ANP_MONTHLY,10,9,pool_card,1800,1301,False,,,,,,,
ANP_MONTHLY,10,9,dataset_card,900,766,False,,,,,,,
ANP_MONTHLY,10,9,diagnosis,700,479,False,,,,,,,
ANP_MONTHLY,10,9,historico,320,315,False,,,,,,,
ANP_MONTHLY,10,9,historico,320,290,False,,,,,,,
