comparates,CREST sem agente,CREST
CREST sem agente,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","0.5778
84 / 533 / 63
0.0000 / 1.0000 / 0.0000
0.0785"
CREST,"-0.5778
63 / 533 / 84
0.0000 / 1.0000 / 0.0000
0.0785","If in bold, then
p-value < 0.05"
