DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
normal;21751.9478400477;AC;oleodiesel;rf;{'n_estimators': 150};12;12;1833.5494738759585;0.12256787413035053;72.72727272727273;-2.0532973659934197;1.7803686774759135;11539.510791260502;11769.750595109323;12064.083471265956;12387.82532373479;13091.847573416504;14122.281660644634;15565.21521966649;16064.587179257684;15858.169607011698;14972.457749896494;13735.75064124527;13661.332174338053
log;38884.885008611964;AC;oleodiesel;rf;{'n_estimators': 100};12;12;1409.0222360500263;0.09217609807613619;36.36363636363637;-5.320692998478189;1.2612209414861226;14017.888833899255;14177.346304437422;14110.986080775234;14265.39558318542;14454.039497571666;14342.561037776632;14385.944680586492;14179.53659388445;14367.528774193928;14265.024248038277;14042.566658875923;13501.37349296933
deseasonal;16440.111879946853;AC;oleodiesel;rf;{'n_estimators': 50};12;12;1387.3646765361934;0.09160907681607673;72.72727272727273;-5.197178437062381;1.332775943403473;12991.647731083152;12335.710761367252;12844.23650744858;14028.644129213284;15202.305860013561;15410.394993223985;16212.135624893604;16575.682773586548;14444.694796548658;14034.475556731999;14153.23712291561;11677.52965609319
