dataset,regressor,mape,smape,rmse,pocid,n_series,n_series_mape
ANP_MONTHLY,FFORMA,0.4047211685347608,0.2165927795372981,6035.241104081568,65.13486513486514,182,177
ANP_MONTHLY,ADE,0.3974604231929031,0.2177221857561537,6137.68339699785,62.387612387612386,182,177
NN5_WEEKLY_DATASET,FFORMA,0.12390915019364888,0.11965425668116374,18.84926924744332,44.65894465894466,111,111
NN5_WEEKLY_DATASET,ADE,0.1218533847610973,0.11780028959142566,18.51213972753339,45.045045045045036,111,111
M4_WEEKLY_DATASET,FFORMA,2.332503046261756e+127,0.09955182450174992,3.317039340335565e+131,59.447539461467045,359,359
M4_WEEKLY_DATASET,ADE,2.3616611351791077e+127,0.1068940885130053,3.358504893052809e+131,57.28876508820798,359,359
ETTH1,FFORMA,0.27536026182968343,0.3000544843168175,1.9945681007177143,65.21739130434783,7,7
ETTH1,ADE,0.35052512593223273,0.39509419821733527,2.517161160834077,62.73291925465838,7,7
ETTH2,FFORMA,0.11744898803962144,0.20352765421803667,2.5436270278857678,56.52173913043479,7,6
ETTH2,ADE,0.12976084518816952,0.2261481811882055,2.6530708177540903,56.52173913043479,7,6
ETTM1,FFORMA,0.32575769887501277,0.4395694732525827,2.298535701112809,51.552795031055894,7,6
ETTM1,ADE,0.3168589685741911,0.4572229796530252,2.480944080011624,50.93167701863354,7,6
ETTM2,FFORMA,0.15252260772756668,0.16542059222940472,3.951250685630078,31.055900621118013,7,7
ETTM2,ADE,0.1751605305826383,0.18724045624723024,4.0934096923774765,31.05590062111801,7,7
