DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
normal;748135.4688286431;RJ;gasolinac;rf;{'n_estimators': 200};12;12;37860.03207501741;0.18029865908586507;54.54545454545455;12.437781948529127;1.4498935432019406;167313.1496654475;160850.66655702682;158900.1881608004;153757.95753135224;152760.75355772633;161977.32039821555;166621.38575789827;167983.781183331;179081.48067175562;194790.10475789208;212219.28646988102;229008.25398174982
log;736651.0485131592;RJ;gasolinac;rf;{'n_estimators': 150};12;12;37295.188133882206;0.16033201184054527;54.54545454545455;10.996938218400675;1.2985212593419402;152757.39062417927;144514.1444150243;145712.06441788867;150681.82317745168;160842.6719614332;169663.5409401221;180647.668144658;198256.67556170264;205105.63088627224;205759.65163131704;216614.70235411474;209350.66779783572
deseasonal;691393.7686563535;RJ;gasolinac;rf;{'n_estimators': 100};12;12;35011.168387392674;0.1508636164911714;54.54545454545455;12.366664669668745;1.217844760707123;183367.25616668802;177229.53519707877;158004.98100357727;140792.18182342383;145999.14981299234;151009.09395486375;162357.4263860676;181898.34028508572;181547.56146597638;217184.8121940625;208139.92320795046;199443.94473918935
