DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
log;102197.68783202664;MT;gasolinac;rf;{'n_estimators': 200};12;12;4713.233309231314;0.0742740984911038;54.54545454545455;2.353218201405385;0.8446549287996831;56694.79613095311;57766.12952065297;57305.111115732565;55723.28288837417;54544.73673063481;52685.29041581116;50677.75203843529;51153.75531943264;50931.634324662016;52449.37716902486;54795.67875648196;55338.928544464594
normal;102480.16289723603;MT;gasolinac;rf;{'n_estimators': 200};12;12;4726.322054570575;0.0736331865223325;54.54545454545455;2.34149702896952;0.8383059155324879;56394.2142927297;57780.90869010616;57035.5099907839;54712.24367252323;54367.646638472375;52510.31682289892;50967.52381313694;51138.50469622549;51125.13516078782;53835.95991107498;54880.06486610594;55396.476067463416
