DATA;MCPM;UF;PRODUCT;MODEL;SAVED MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
normal;0.6730388178851354;GO;queroseneiluminante;ARIMA;./pickle_arima/queroseneiluminante/normal/GO_normal.pkl;{'p': 12, 'd': 0, 'q': 11};-;12;0.0064708357669286355;0.009071742922727652;0.0;0.9071742922727654;-0.6690495763546824;-0.6678845240478694;-0.66616502712544;-0.6658370933857684;-0.6655018677154758;-0.6665798652760178;-0.6658485820442742;-0.6653032966829877;-0.6635845584353534;-0.6621970329947922;-0.6622227627729538;-0.6618519191241113
deseasonal;6.869090899917749;GO;queroseneiluminante;ARIMA;./pickle_arima/queroseneiluminante/deseasonal/GO_deseasonal.pkl;{'p': 3, 'd': 0, 'q': 7};-;12;0.08082353790890895;0.07774848222330855;0.0;5.560466788785623;-0.6498637615501479;-0.707465037313417;-0.6506288809347921;-0.7031192467878953;-0.6824353022469194;-0.6540524867073381;-0.6528398464778467;-0.6147323451364894;-0.4308125747486127;-0.5975732358707269;-0.582476996401188;-0.681199032482036
deseasonal-log;6.7785024181746;GO;queroseneiluminante;ARIMA;./pickle_arima/queroseneiluminante/deseasonal_log/GO_deseasonal_log.pkl;{'p': 12, 'd': 0, 'q': 5};-;12;0.08023273323514045;0.07624889802333912;0.0;4.804810718372008;-0.6381315044438622;-0.7263399664429313;-0.6659827486867949;-0.7172440928891181;-0.6716454291961133;-0.6814753891824555;-0.6418844707168927;-0.6185831639598582;-0.4318927031094092;-0.6040510297536567;-0.5976702579955333;-0.6731668416642205
deseasonal-diff;10.151504057566784;GO;queroseneiluminante;ARIMA;./pickle_arima/queroseneiluminante/deseasonal_diff/GO_deseasonal_diff.pkl;{'p': 5, 'd': 0, 'q': 2};-;12;0.09980628349730675;0.13449842263832587;0.0;-10.26058701970234;-0.6794177738883236;-0.7571864014860717;-0.7488843006642026;-0.7763780793771687;-0.7729670872372686;-0.7598821705253453;-0.7556700727834496;-0.7004361395219809;-0.542809477109586;-0.7620934780007839;-0.7685666741408954;-0.8573087816633983
diff;9.074652239376508;GO;queroseneiluminante;ARIMA;./pickle_arima/queroseneiluminante/diff/GO_diff.pkl;{'p': 11, 'd': 0, 'q': 7};-;12;0.08774542752861354;0.12171788711920557;0.0;-12.17178871192056;-0.6988364419717729;-0.7095330170450764;-0.7233013084681723;-0.7347745132077561;-0.7414794142711643;-0.7464668678360555;-0.7535611159537663;-0.7668377288943156;-0.7766163431963663;-0.7886139560111103;-0.7929647021929167;-0.8025642329770107
log;3.588196016003884;GO;queroseneiluminante;ARIMA;./pickle_arima/queroseneiluminante/log/GO_log.pkl;{'p': 8, 'd': 0, 'q': 3};-;12;0.03480411276026011;0.04804500303250819;0.0;4.80450030325082;-0.6601158632105459;-0.6588010103206088;-0.6493613782095515;-0.6443163694972824;-0.6445850291999271;-0.6435077561042579;-0.6389611935810162;-0.633912233921631;-0.6290535768507741;-0.625473033470783;-0.62000091056853;-0.6200042473540588
log-diff;6.108655618211946;GO;queroseneiluminante;ARIMA;./pickle_arima/queroseneiluminante/log_diff/GO_log_diff.pkl;{'p': 6, 'd': 0, 'q': 2};-;12;0.05879860619474387;0.08222640444797215;0.0;-8.222640444797216;-0.6967532903782807;-0.7018473183686034;-0.6970981568684422;-0.713912057821906;-0.7240879834703087;-0.7254348675880014;-0.7266564725226807;-0.7334819183828856;-0.7459671473452385;-0.7409898822852039;-0.7494942194346237;-0.7617184893848439
