train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RO;gasolinac;ARIMA;(15, 1, 23);12;12;2361.4727728192147;0.041757865254312604;90.9090909090909;2.699958962303533;9338.752022855211;0.8089259744220735;35869.10125038543;36316.705926536764;38872.372422887864;37984.87058234259;41536.88945372344;42786.47640081133;42507.300876526286;40949.16210208572;38675.81218475837;40588.77014636331;35845.55264470147;34708.41433963403;-3.146165275950171;0.023320087279938267;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;True
1990-01_2022-02;2022-03_2023-02;RO;gasolinac;ARIMA;(15, 1, 23);12;12;2436.6787605450345;0.051632953143964516;72.72727272727273;4.912075989910779;28830.89345085375;inf;35842.20325849897;33960.307716845724;35640.34930945874;36026.011755668296;38697.84758935794;39328.69148327116;40484.59500654778;40404.26569880628;37392.0156294918;39993.0654356408;33908.31767584863;32818.20239247445;-3.035963976245485;0.03166959674418936;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;True
1990-01_2021-02;2021-03_2022-02;RO;gasolinac;ARIMA;(15, 1, 23);12;12;1479.8391919807325;0.03121026067151721;63.63636363636363;-0.09145199500294164;23321.914881474924;0.45602799849824355;36989.41493705463;33144.560638056806;34987.36235604263;37163.767675102245;40737.9249184343;38911.93824194726;39845.66717471353;39819.170069502;36021.9924636546;39654.283841704004;32818.992419226255;32769.55675525012;-2.9844898416365195;0.0363684612267434;12;360;-3.448645946352023;-2.869602139060357;-2.5710650077160495;True
1990-01_2020-02;2020-03_2021-02;RO;gasolinac;ARIMA;(15, 1, 23);12;12;4153.382337582634;0.10421865976819338;54.54545454545455;-5.34496817117949;81937.9991248178;0.9202158504794213;37508.786267606694;36847.06122941636;36699.25399883828;36100.058278638295;39456.5584060373;39761.8692285429;38722.175063822564;37887.56198468908;36928.598968346065;39537.23067003305;34237.697331292286;33392.527762582584;-2.890804460280634;0.04642781071690909;12;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;True
1990-01_2019-02;2019-03_2020-02;RO;gasolinac;ARIMA;(15, 1, 23);12;12;7926.670817466073;0.18462789366794632;27.272727272727273;11.304448610766645;250264.914222871;3.311516258794236;42759.38695786145;35167.006424526306;28041.804443690868;38594.081520020896;34619.42061397247;21548.247406840666;31994.879986044107;31495.29222533902;31742.103737962098;29792.141996381586;28245.266398430635;39365.63539526761;-2.8221982178845417;0.05517220418639969;12;336;-3.449962981927952;-2.870180642420163;-2.5713734527352607;False
1990-01_2018-02;2018-03_2019-02;RO;gasolinac;ARIMA;(15, 1, 23);12;12;8383.758728285184;0.17686724890343605;45.45454545454545;14.472203115259456;198661.20047190963;2.0109645798658695;39734.14308306398;34739.38238513783;29688.13124910593;31326.645068572747;27927.61037775806;16415.653313237526;25237.227944237326;29703.83431409503;31428.125600023766;31889.250553866415;32427.061911870478;36817.21326618066;-2.866367785082213;0.049401079417676054;12;324;-3.450695263332383;-2.87050218926466;-2.5715449066453284;True
1990-01_2017-02;2017-03_2018-02;RO;gasolinac;ARIMA;(15, 1, 23);12;12;1649.4111430365283;0.03757522823550022;90.9090909090909;2.8302964702074367;6519.857247641612;0.4853686345326481;33617.57089569481;33255.615922366036;35183.1196666391;35010.18847577039;36855.12265638826;38236.197494597014;38690.082768195454;36146.309780961165;34477.27441915589;37269.19899524376;32894.86684471141;32859.7682226934;-2.917013300879486;0.043405051075871705;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;True
1990-01_2016-02;2016-03_2017-02;RO;gasolinac;ARIMA;(15, 1, 23);12;12;1975.6032378464029;0.035817765673827336;81.81818181818181;3.37359973234609;15584.764447409616;0.4381452184772331;32872.798157631565;33180.77737967089;35597.88490125314;35147.9679423165;35802.84370900936;36680.35149955168;38108.11397342706;35716.189457902474;33675.38578038103;35686.657070047855;32117.774632415498;31756.897649387567;-2.672974691297387;0.07883271144447862;12;300;-3.4523371197407404;-2.871222860740741;-2.571929211111111;False
1990-01_2015-02;2015-03_2016-02;RO;gasolinac;ARIMA;(15, 1, 23);12;12;9350.769477334761;0.2156755967136945;72.72727272727273;-10.978652740015757;111303.14399730305;1.7425030688263639;49316.68468094341;45055.65082844252;48664.9242625042;49370.15686443188;39229.86456887058;24235.600741029346;30382.568456640598;34059.01165464453;32978.85242200101;37418.68861710292;33989.06763497438;37736.47665551109;-2.879475778468862;0.04778727104752166;11;289;-3.4531816058796143;-2.871593390724642;-2.5721268156511536;True
1990-01_2014-02;2014-03_2015-02;RO;gasolinac;ARIMA;(15, 1, 23);12;12;6638.02293767188;0.17256581289368988;72.72727272727273;15.116729368022058;78889.3679869374;1.2741446723731185;35086.44733745422;28282.82246539595;29874.104509613542;28642.852465902233;27618.479030895644;25420.03635608629;29172.53182029572;29498.382655883222;27122.90090642603;31220.63114247929;28393.947678079963;28631.41124258934;-2.713850931385858;0.07167196789023872;11;277;-3.4541800885158525;-2.872031361137725;-2.5723603999791473;False
