DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;R2;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
normal;6602.046603243917;SE;glp;SARIMA;{'p': 2, 'd': 1, 'q': 2, 's': 12};12;12;911.380040526049;0.06153374803003128;83.33333333333333;-3.605468634528101;-1.0247673283375605;11891.768847554831;11655.982738240458;12080.554136637338;12418.77545719919;13342.541224578586;13526.613218743722;12913.836053820512;13052.60256856674;12384.898530375707;12794.36768846558;11767.960029122822;10961.4547242434;-5.814273702745588;4.3290257368917616e-07;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
deseasonal;5658.122271803935;SE;glp;SARIMA;{'p': 2, 'd': 1, 'q': 2, 's': 12};12;12;781.4541997631298;0.053421738498286915;83.33333333333333;-2.615335426739173;-0.4886176266589839;11932.03560897718;11756.830765072502;11819.610742185436;12366.697392485614;13207.659974321947;13245.725942103561;12718.107846020179;12785.449988514749;12243.403343842263;12378.80493407396;11775.856032628679;11139.208500309483;-6.792040735956682;2.351264944462395e-09;4;392;-3.44714244478345;-2.8689414326247995;-2.5707127699396084;True
deseasonal-log;5841.589532967785;SE;glp;SARIMA;{'p': 2, 'd': 1, 'q': 2, 's': 12};12;12;806.6779984958588;0.05579661968614019;83.33333333333333;-2.799569123771886;-0.5862678500894332;11924.667057586927;11766.811843835181;11777.423105408088;12391.60089011048;13237.327182470708;13336.391834072258;12763.281697150971;12832.723131989036;12271.85203783574;12382.100398359404;11798.054400853389;11151.74180112729;-6.799441007453707;2.256696542406776e-09;4;392;-3.44714244478345;-2.8689414326247995;-2.5707127699396084;True
deseasonal-diff;9269.995278206035;SE;glp;SARIMA;{'p': 2, 'd': 1, 'q': 3, 's': 12};12;12;1276.951050545822;0.09710717955293809;83.33333333333333;-8.101708052350153;-2.9748852675353645;12402.105950426196;11890.793519372823;12484.981086315962;12787.778123861735;13478.52796986018;13665.274894264508;13237.979556548622;13518.932317142475;12993.112751921008;13555.920733860961;12865.879816930059;12367.271627124606;-23.658097805493473;0.0;1;395;-3.447014064067954;-2.8688850015516016;-2.5706826870693797;True
diff;8356.543992792149;SE;glp;SARIMA;{'p': 2, 'd': 1, 'q': 4, 's': 12};12;12;1151.8466956595837;0.08657733025222293;83.33333333333333;-6.640065260671324;-2.2341894761005565;12124.77089706538;11822.667699503809;12436.62016336402;12624.921011652867;13537.087465085719;13573.38781165443;13100.103795180094;13378.961207133036;12814.639736061768;13378.991544364419;12489.255112619237;11868.036725140219;-7.021947234760092;6.509092237746476e-10;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
log;7351.648666334002;SE;glp;SARIMA;{'p': 2, 'd': 1, 'q': 2, 's': 12};12;12;1014.394668091256;0.06917875984338238;83.33333333333333;-4.508333704169369;-1.5083608491873308;11936.805532573688;11643.346548297082;12192.133648086763;12508.407719716595;13557.293561854196;13716.238195711276;13007.266740536425;13261.665419140138;12439.820904395308;13055.219315492166;11812.72997232052;10957.063050017816;-5.80053423288313;4.6423334937755794e-07;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
log-diff;10092.532250070983;SE;glp;SARIMA;{'p': 2, 'd': 1, 'q': 4, 's': 12};12;12;1389.5695851772707;0.105396059198195;83.33333333333333;-8.588518175690306;-3.7069187051926935;12162.768253395252;11848.248932592842;12568.211296661608;12794.02683814175;13784.152266985282;13951.40540739687;13356.34491932418;13765.48529096905;13113.475973860264;13797.635235128819;12778.870231311528;12027.058361399828;-6.887342608139199;1.383724050655771e-09;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
