train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MT;etanolhidratado;ARIMA;(16, 1, 5);12;12;15255.50537748321;0.14488581435835143;54.54545454545455;15.42845590131786;301224.833422262;1.171147328202375;71573.99729309749;67027.82927333776;68326.40766691195;68408.07250778635;69537.74760467092;69753.93914471737;70870.76614797437;70085.73655036393;69103.44243224541;72970.40645487337;67854.54433959383;69804.75592754943;-3.438213917486351;0.009723128470282685;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;True
1990-01_2022-02;2022-03_2023-02;MT;etanolhidratado;ARIMA;(16, 1, 5);12;12;7036.212821042088;0.0788994892047991;63.63636363636363;8.19002299239068;111033.24998501154;inf;60657.02647601878;60767.23260706187;64520.82373096977;64652.97015580352;67286.30444462702;67101.3291098212;69169.2645856554;67930.43820042427;65577.03203305387;70140.58052540668;65194.5753191632;66666.07064233067;-4.05236518267553;0.001159816650275886;12;372;-3.4480516066132636;-2.869340997473759;-2.5709257824604;True
1990-01_2021-02;2021-03_2022-02;MT;etanolhidratado;ARIMA;(16, 1, 5);12;12;10774.103799995362;0.13211358283038854;45.45454545454545;-9.90496364196419;255091.680119837;0.9118343127594043;73197.31354781133;69227.32312963116;72586.11377098573;70988.3841230975;72602.08861213886;74115.46885018106;75902.047345999;76838.94534848217;74556.6893950487;78021.16519009972;74282.50022575186;73970.01779129832;-3.803853657887515;0.0028681322118577933;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;True
1990-01_2020-02;2020-03_2021-02;MT;etanolhidratado;ARIMA;(16, 1, 5);12;12;9376.989429044976;0.11089449811754772;63.63636363636363;-6.601297840746632;148101.3091616444;1.5958388885703054;81598.32088902801;81859.95228353621;79058.29071868968;76258.38161374227;80248.01448121836;79392.33592109472;79885.45480289866;81560.30065763515;79653.6759821508;84374.14883232581;79934.2018664652;78814.053976897;-3.709669108912421;0.003979186887028514;12;348;-3.4492815848836296;-2.8698813715275406;-2.5712138845950587;True
1990-01_2019-02;2019-03_2020-02;MT;etanolhidratado;ARIMA;(16, 1, 5);12;12;16582.12097662115;0.1718112899687291;27.272727272727273;17.68736816318597;523440.4442739937;1.1697234008746524;75337.42573581554;68351.85935297098;68299.06293992595;70186.77654506276;68440.54430581116;70281.82286343515;67841.0319770854;69788.02083395561;69473.08722351606;68356.79468580245;69449.14379736262;68294.9957881554;-3.3979000156441823;0.011030668582383238;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;True
1990-01_2018-02;2018-03_2019-02;MT;etanolhidratado;ARIMA;(16, 1, 5);12;12;15754.830921313436;0.18419581032937793;63.63636363636363;18.075613762255205;249333.74296293771;3.011215340758682;65529.9645757979;60753.39044880388;61028.63629793334;59006.50229489877;56438.09476010693;58624.82928898154;57181.06154832895;56874.77891797296;56572.711253412024;58655.26407509876;57267.12007018688;56273.42250460978;-3.1907597184434575;0.020525812044857518;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;True
1990-01_2017-02;2017-03_2018-02;MT;etanolhidratado;ARIMA;(16, 1, 5);12;12;13383.174602022076;0.1862776594553269;81.81818181818181;19.680879107083253;106446.13579293009;0.9381777843241559;46578.53342575565;45643.24532429892;46826.252976548414;46124.64255455025;47449.182033595505;48739.289522007;49224.3813279537;49070.21639544469;48468.0010099957;50635.62186584621;48679.99396168941;47449.73280119997;-3.4966590883549054;0.008073311448870826;12;312;-3.4514843502727306;-2.8708485956333556;-2.571729625657462;True
1990-01_2016-02;2016-03_2017-02;MT;etanolhidratado;ARIMA;(16, 1, 5);12;12;3829.0603010046602;0.06232930509479412;54.54545454545455;-5.6514931634480545;75469.65014964216;0.1318717189725887;52980.97758922843;50188.58204716591;48920.4562379026;50001.63485832443;51435.14309994519;51195.553122172096;53251.76610305115;52924.92333142767;53220.25363915173;56536.954810398754;52053.2419822105;52383.99292180148;-2.8101975654752827;0.05683181816004507;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;MT;etanolhidratado;ARIMA;(16, 1, 5);12;12;16376.496573468241;0.24594437559759963;72.72727272727273;25.553088768617645;195144.16272881842;1.1187351856448027;45617.11431930692;44823.83841785522;44664.922530118216;41887.3249311182;42119.87044553667;42277.33054185479;42751.56388308361;43347.68924214518;41822.560670742285;44702.45560661425;43995.27266162057;43251.28513830386;-3.0550171602156877;0.030066226094236766;12;288;-3.453261605529366;-2.87162848654246;-2.5721455328896603;True
1990-01_2014-02;2014-03_2015-02;MT;etanolhidratado;ARIMA;(16, 1, 5);12;12;6892.983038415669;0.12093659557674112;81.81818181818181;10.06248386442759;54630.08498339326;0.20636161484443655;41117.149760714565;39743.0385653285;39334.45055638789;38331.26257612079;38906.19628753818;38958.43721363568;39184.65146015408;40308.664181038235;39232.71587261172;41631.90052245384;40470.23417653741;38761.67884874798;-3.066807055154296;0.02910914087814504;12;276;-3.4542672521624214;-2.87206958769775;-2.5723807881747534;True
