DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;R2;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
normal;172947.05694489504;GO;gasolinac;SARIMA;{'p': 2, 'd': 1, 'q': 2, 's': 12};12;12;15907.713491111503;0.10740683022523663;75.0;-8.048379958993268;-1.2892415474603758;137952.7184088248;140605.56011634163;142150.36230105284;136716.63018483002;150803.45725669363;146116.0558996573;144585.33407079056;148679.80679503025;138976.7652634383;165774.27139437088;143432.73106314463;135604.78125392806;-4.002146069643988;0.001399315398728016;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;True
deseasonal;230111.94720638925;GO;gasolinac;SARIMA;{'p': 2, 'd': 1, 'q': 2, 's': 12};12;12;15890.309805617142;0.10950918189031549;66.66666666666667;-6.788977438006234;-1.2842352408071274;134695.65589906083;136088.64166233866;138066.17107665836;134623.177818448;146276.70890121607;146863.27342992017;143483.7263645432;147202.15470993158;141248.95573595766;159772.0050746217;142562.1672702813;140334.80601334243;-4.299116982296354;0.0004457789812833203;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;True
deseasonal-log;248723.5824711559;GO;gasolinac;SARIMA;{'p': 2, 'd': 1, 'q': 2, 's': 12};12;12;17170.236037170274;0.11981861965488111;66.66666666666667;-7.216558028443523;-1.6670344729458288;133076.25256432535;134680.39618424565;137316.80705241335;133618.8411657358;147463.07972004678;148358.72587930385;144603.79242390173;148733.11788568576;142416.09473326345;162561.72471999074;143410.08481382835;141830.20179546752;-4.268711641751542;0.0005030178381534239;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;True
deseasonal-diff;606335.1614704161;GO;gasolinac;SARIMA;{'p': 2, 'd': 1, 'q': 9, 's': 12};12;12;27901.685182248333;0.18556361199992824;50.0;-16.93115437078378;-6.042663964837641;142018.4922395196;143297.79104418468;147985.08249208392;150218.52985245924;158879.39543667214;159329.95277201923;156507.87648190363;160785.34958336764;157165.91385489717;172922.92462853136;161761.15541212755;162866.15512846713;-8.237370720845359;5.840808140340835e-13;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;True
diff;517739.3364774074;GO;gasolinac;SARIMA;{'p': 2, 'd': 1, 'q': 3, 's': 12};12;12;28565.62988503431;0.1899236646931027;58.333333333333336;-17.346835534004473;-6.381824371185338;143891.027255814;146024.64541690785;147862.11358777696;147405.8797575814;156356.30481508945;156757.68018973325;157633.57219262797;161782.71590911556;159455.64121336097;177102.75888604712;164340.61786912638;161786.65695345463;-8.401700927060437;2.2223965712627043e-13;11;385;-3.4474498334928687;-2.8690765390453703;-2.570784795075055;True
log;187290.26497085305;GO;gasolinac;SARIMA;{'p': 2, 'd': 1, 'q': 2, 's': 12};12;12;17221.85343556644;0.11491972772407423;75.0;-8.479896979531155;-1.683093926805789;137124.35409924688;140451.50194764553;141368.4277131771;135431.23670696406;152945.1351065816;146782.33472798145;145266.5716441965;149646.8636097249;138746.1813464005;172313.09951353076;143599.50018129946;134638.02088707834;-4.0059735311326055;0.001379553073865182;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;True
log-diff;589975.6600627623;GO;gasolinac;SARIMA;{'p': 2, 'd': 1, 'q': 3, 's': 12};12;12;32531.037850887446;0.21584066354758166;58.333333333333336;-20.041277278289567;-8.573526337270966;144251.315793892;147573.73999173587;149314.1270344884;149502.1668778118;159568.2567104739;159567.69342704973;160989.79846795546;166545.00229905534;163391.00233889447;187367.4704611447;170038.675849396;165466.8781874372;-8.383438188818905;2.4745787457416513e-13;11;385;-3.4474498334928687;-2.8690765390453703;-2.570784795075055;True
