dataset_a,dataset_b,spearman_corr
ANP_MONTHLY,NN5_WEEKLY_DATASET,0.8999999999999998
ANP_MONTHLY,M4_WEEKLY_DATASET,-0.49999999999999994
ANP_MONTHLY,ETTH1,-1.0000000000000002
ANP_MONTHLY,ETTH2,-0.2
ANP_MONTHLY,ETTM1,-0.8
ANP_MONTHLY,ETTM2,-0.4
NN5_WEEKLY_DATASET,M4_WEEKLY_DATASET,-0.6
NN5_WEEKLY_DATASET,ETTH1,-1.0000000000000002
NN5_WEEKLY_DATASET,ETTH2,-0.2
NN5_WEEKLY_DATASET,ETTM1,-0.8
NN5_WEEKLY_DATASET,ETTM2,-0.4
M4_WEEKLY_DATASET,ETTH1,0.2
M4_WEEKLY_DATASET,ETTH2,1.0000000000000002
M4_WEEKLY_DATASET,ETTM1,0.4
M4_WEEKLY_DATASET,ETTM2,0.8
ETTH1,ETTH2,0.2
ETTH1,ETTM1,0.8
ETTH1,ETTM2,0.4
ETTH2,ETTM1,0.4
ETTH2,ETTM2,0.8
ETTM1,ETTM2,0.8
