dataset,familia,representacao,pct_divergentes_medio
ANP_MONTHLY,catboost,original,0.0
ANP_MONTHLY,catboost,concatenada,0.0
ANP_MONTHLY,catboost,only,0.0
ANP_MONTHLY,rf,original,0.0
ANP_MONTHLY,rf,concatenada,0.0
ANP_MONTHLY,rf,only,0.0
NN5_WEEKLY_DATASET,catboost,original,0.0
NN5_WEEKLY_DATASET,catboost,concatenada,0.0
NN5_WEEKLY_DATASET,catboost,only,0.0
NN5_WEEKLY_DATASET,rf,original,0.0
NN5_WEEKLY_DATASET,rf,concatenada,0.0
NN5_WEEKLY_DATASET,rf,only,0.0
M4_WEEKLY_DATASET,catboost,original,0.2785515320334262
M4_WEEKLY_DATASET,catboost,concatenada,0.5571030640668524
M4_WEEKLY_DATASET,catboost,only,0.6499535747446611
M4_WEEKLY_DATASET,rf,original,0.2785515320334262
M4_WEEKLY_DATASET,rf,concatenada,0.5571030640668524
M4_WEEKLY_DATASET,rf,only,0.46425255338904364
ETTH1,catboost,original,100.0
ETTH1,catboost,concatenada,0.0
ETTH1,catboost,only,0.0
ETTH1,rf,original,0.0
ETTH1,rf,concatenada,0.0
ETTH1,rf,only,0.0
ETTH2,catboost,original,85.71428571428571
ETTH2,catboost,concatenada,0.0
ETTH2,catboost,only,0.0
ETTH2,rf,original,0.0
ETTH2,rf,concatenada,0.0
ETTH2,rf,only,0.0
ETTM1,catboost,original,100.0
ETTM1,catboost,concatenada,0.0
ETTM1,catboost,only,0.0
ETTM1,rf,original,0.0
ETTM1,rf,concatenada,0.0
ETTM1,rf,only,0.0
ETTM2,catboost,original,85.71428571428571
ETTM2,catboost,concatenada,0.0
ETTM2,catboost,only,0.0
ETTM2,rf,original,0.0
ETTM2,rf,concatenada,0.0
ETTM2,rf,only,0.0
