DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
normal;50381.29710529265;DF;querosenedeaviacao;ARMA;{'p': 16, 'd': 0, 'q': 8};12;12;2787.923620926688;0.0661359275209522;63.63636363636363;6.987570779660493;0.8715715266177648;28510.99222521638;26819.80733330204;27368.353148065577;27493.21294328322;28604.553811426344;29236.33731895752;27644.1468776272;28245.23312598197;26799.299153765616;27514.999834976465;27745.517594160006;26003.006971164643;-4.241262226509367;0.00056058175528;13;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;True
log;71594.77366888183;DF;querosenedeaviacao;ARMA;{'p': 24, 'd': 0, 'q': 18};12;12;3959.194214538003;0.0936352966449757;63.63636363636363;9.710803276886146;1.226484280564038;27565.95935588729;24308.945203713563;25353.854358677905;24941.89766437032;26900.998370432982;28555.610304307625;28440.54529251354;28431.726905096533;26676.108564997165;27481.44034753848;28643.05086830756;24965.40070271332;-4.336793937607275;0.0003833673695735;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
deseasonal;10579.127106876893;DF;querosenedeaviacao;ARMA;{'p': 9, 'd': 0, 'q': 6};12;12;2668.818488402205;0.06328118260585279;90.9090909090909;6.622931725268454;0.8260894803784607;27844.517074394782;26549.387355856506;27550.48237103498;27470.78140467493;29845.924669782562;29268.96850976963;28463.63811442681;28626.47385363284;27192.084963248537;28590.850906340984;27536.053974505332;24347.78840700966;-3.9582523628962956;0.001645602045612312;11;385;-3.4474498334928687;-2.8690765390453703;-2.570784795075055;True
