DATA;MCPM;UF;PRODUCT;MODEL;SAVED MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
normal;243.05523246365445;RN;gasolinadeaviacao;ARIMA;./pickle_arima_rolling/gasolinadeaviacao/normal/RN_normal.pkl;{'p': 9, 'd': 1, 'q': 11};12;12;5.79972218351446;3.4770663333371683;41.666666666666664;14.657489245898306;7.716960478513065;9.614753580824011;9.46216687898918;8.631029161668309;8.107997455505034;7.7456097309033725;7.805833048151376;9.590806802608217;7.912096191843078;6.999809597026548;8.66777882108494;9.843817568444893;-7.868396382295802;5.061753380196595e-12;3;393;-3.447099431978147;-2.8689225261604263;-2.57070269105012;True
deseasonal;100.04111529482687;RN;gasolinadeaviacao;ARIMA;./pickle_arima_rolling/gasolinadeaviacao/deseasonal/RN_deseasonal.pkl;{'p': 14, 'd': 1, 'q': 12};12;12;5.5184785254621405;3.049729237576132;75.0;13.510473899124872;8.660866179896342;10.348837692399707;7.958293127029913;8.58634740554377;7.710359902521904;8.441718073548824;7.621525213806196;10.338314931266764;8.024096774527747;8.312194645547933;8.446857520881528;9.021468188550326;-7.868396382295802;5.061753380196595e-12;3;393;-3.447099431978147;-2.8689225261604263;-2.57070269105012;True
deseasonal-log;175.14685217098798;RN;gasolinadeaviacao;ARIMA;./pickle_arima_rolling/gasolinadeaviacao/deseasonal_log/RN_deseasonal_log.pkl;{'p': 10, 'd': 1, 'q': 11};12;12;5.936978630054871;3.3003821121182604;58.333333333333336;17.962112124390597;7.304968225903546;9.545009225313253;8.783457955978749;7.626481342915057;8.214291492406241;7.953839950107304;7.650305924099971;8.844821124684668;8.105840197237491;7.02702356463729;8.173158613349276;8.916009164473707;-7.861091744771961;5.2818473922197155e-12;3;393;-3.447099431978147;-2.8689225261604263;-2.57070269105012;True
deseasonal-diff;241.4618076263708;RN;gasolinadeaviacao;ARIMA;./pickle_arima_rolling/gasolinadeaviacao/deseasonal_diff/RN_deseasonal_diff.pkl;{'p': 9, 'd': 0, 'q': 11};12;12;5.7876597540003765;3.431304823658996;41.666666666666664;15.08530348181299;7.666012159928535;9.48934323618229;9.24474065524098;8.619087174020187;7.941836713893193;7.877184682757585;7.932731441366815;9.423743650455565;7.952242292352803;6.821715318950211;8.757395154602403;9.860815552817282;-6.657133571811646;4.951634357158362e-09;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
diff;128.77346419998707;RN;gasolinadeaviacao;ARIMA;./pickle_arima_rolling/gasolinadeaviacao/diff/RN_diff.pkl;{'p': 13, 'd': 0, 'q': 12};12;12;5.5179428655852085;2.920319719939871;66.66666666666667;16.377726724001878;7.715091273880892;10.092832400450549;7.708986238191626;8.636703140762808;7.528076629345453;7.344826157301624;6.936651968423129;10.38706939468503;7.627988545306467;8.154871978128238;8.52556259675727;9.382010087774505;-6.657133571811646;4.951634357158362e-09;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
log;140.84081499376313;RN;gasolinadeaviacao;ARIMA;./pickle_arima_rolling/gasolinadeaviacao/log/RN_log.pkl;{'p': 11, 'd': 1, 'q': 11};12;12;5.786912168260891;3.3834362700352876;66.66666666666667;16.423517896621316;7.541552183975186;9.21919198499916;9.144709370911242;7.6097251413978135;8.215717847148818;8.275245985497445;7.666283140918243;9.167475677956727;8.04928385862999;7.411149682590477;7.997997932164632;9.68755579336632;-7.861091744771961;5.2818473922197155e-12;3;393;-3.447099431978147;-2.8689225261604263;-2.57070269105012;True
log-diff;171.83495422149872;RN;gasolinadeaviacao;ARIMA;./pickle_arima_rolling/gasolinadeaviacao/log_diff/RN_log_diff.pkl;{'p': 14, 'd': 0, 'q': 12};12;12;5.937581303640062;3.139144376612903;58.333333333333336;19.968436998360048;7.754453290357124;9.033802281685746;8.329488858351963;7.299178720405452;7.981647201378824;7.755533119573639;7.305177162982669;8.588247725759263;7.987142022062935;7.643131135790367;7.7796599506299335;8.287498612404026;-6.6967256405925575;3.9823354919126195e-09;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
