dataset_index;horizon;regressor;mape;pocid;smape;rmse;msmape;mae;test;predictions;start_test;final_test
0;12;simple_selective_agent_qwen3=14b;0.27241022772785856;45.45454545454545;0.32393759867425437;1982.5162437186568;0.3239345261548185;1727.055833333333;[5142.53, 5476.0, 5628.5, 8451.5, 7282.5, 6116.53, 5401.0, 6605.03, 5789.5, 4763.5, 5809.9, 5354.2];[4032.51, 3992.17, 4059.04, 4247.48, 4254.99, 4323.32, 4323.39, 4411.27, 4414.45, 4362.44, 4354.62, 4320.34];INICIO;2024-11-30;Combined predictions from the selected best models: ARIMA (Statistical), NaiveMovingAverage (Naive), rf (Random Forest), FT_svr (SVR), and DWT_catboost (CatBoost). These models were chosen based on the lowest RMSE values in their respective categories.
1;12;simple_selective_agent_qwen3=14b;0.09571226143588855;72.72727272727273;0.10210965130571571;2092.3193044280424;0.1021093600107102;1792.772916666666;[17321.534, 18859.125, 15978.749, 17282.099, 17626.749, 17679.862, 16958.552, 20797.155, 19341.835, 18305.755, 19278.976, 17704.012];[16725.88, 17072.07, 16003.65, 16082.39, 15673.59, 15959.12, 16059.55, 16683.65, 16409.14, 16260.19, 16364.26, 16377.44];INICIO;2024-11-30;Combined predictions from the top-performing models selected by RMSE: ARIMA (Statistical), NaiveMovingAverage (Naive), ONLY_FT_svr (SVR), ONLY_CWT_rf (RF), and DWT_catboost (Catboost). These models were chosen for their lowest RMSE within their respective categories and representations.
2;12;simple_selective_agent_qwen3=14b;0.03648485933281264;90.9090909090909;0.03530508916288189;4207.400309461195;0.03530506751755278;2886.249000000001;[93130.2, 85161.9, 72440.6, 82384.8, 81450.828, 83151.625, 76231.5, 83911.1, 83812.025, 81287.9, 85070.866, 81789.2];[88175.87, 84366.78, 83707.4, 84682.49, 82908.16, 85337.78, 82633.96, 83212.79, 83659.46, 83005.07, 83644.54, 83069.93];INICIO;2024-11-30;Combined predictions from the top-performing models selected by RMSE: THETA (Statistical), NaiveSeasonal (Naive), ONLY_FT_svr (SVR), ONLY_FT_rf (RF), and CWT_catboost (CatBoost). The combined forecast values are:
3;12;simple_selective_agent_qwen3=14b;0.27829774309746297;72.72727272727273;0.337448572743486;3202.4967669354487;0.3374465296340765;2798.2156666666665;[7603.876, 6976.942, 6700.957, 9677.861, 8741.862, 9460.969, 10039.951, 10081.468, 10205.921, 10409.549, 11826.809, 10400.819];[7997.71, 7140.62, 6318.9, 6719.82, 6214.99, 6294.52, 6164.5, 6419.52, 6541.91, 6322.82, 6706.87, 6821.24];INICIO;2024-11-30;Combined predictions from the selected top-performing models: THETA (best Statistical model), NaiveSeasonal (best Naive model), catboost (best ML model without transformation), CWT_rf (best RF with CWT), and ONLY_FT_svr (best SVR with FT). The combination uses mean averaging of their predictions.
4;12;simple_selective_agent_qwen3=14b;0.057623769525617735;72.72727272727273;0.058871434059163535;3618.255230406869;0.05887137972235476;3195.1166666666663;[58169.7, 57787.0, 47477.7, 50767.5, 52987.0, 54400.7, 50523.9, 57335.2, 56685.0, 55975.3, 60210.8, 54137.35];[53488.68, 52687.02, 51664.82, 52472.06, 52483.45, 52439.25, 52822.88, 53295.54, 53307.84, 53154.91, 53704.8, 52975.82];INICIO;2024-11-30;Combined predictions from the top-performing models based on RMSE: THETA (Statistical), NaiveMovingAverage (Naive), ONLY_CWT_svr (SVR), ONLY_FT_rf (RF), and FT_catboost (Catboost). The combined forecast values are:
5;12;simple_selective_agent_qwen3=14b;0.303175848798702;63.63636363636363;0.23216380803443762;31.799248404377945;0.2320502590515787;24.07975;[100.33, 79.59, 70.15, 103.42, 122.78, 61.93, 74.31, 146.05, 122.32, 122.5, 128.423, 107.25];[98.23, 109.61, 110.95, 117.77, 132.03, 128.25, 133.86, 144.37, 134.18, 140.78, 134.69, 135.73];INICIO;2024-11-30;Combined predictions from the selected models: THETA (best Statistical), NaiveMovingAverage (best Naive), svr (best ML model without transformation), ONLY_CWT_rf (best RF with CWT), and ONLY_CWT_catboost (best Catboost with CWT). The combination uses mean averaging of these top-performing models based on RMSE.
6;12;simple_selective_agent_qwen3=14b;0.379115674130769;72.72727272727273;0.49098466562300574;4799.333922990165;0.49098177673101234;4203.758;[6366.518, 6620.585, 5717.92, 11246.235, 10922.87, 12106.33, 12117.655, 13377.192, 11687.995, 10140.943, 10216.482, 9791.577];[7523.6, 6260.75, 5405.86, 6109.34, 5474.98, 5750.0, 5674.37, 5868.08, 6101.06, 5798.24, 6204.53, 6010.56];INICIO;2024-11-30;Combined predictions from the top-performing models selected by RMSE: THETA (Statistical), NaiveSeasonal (Naive), DWT_svr (SVR), DWT_rf (RF), and FT_catboost (Catboost).
7;12;simple_selective_agent_qwen3=14b;0.17175462291709911;54.54545454545455;0.17185499494352305;108.24924184953906;0.17183656967307906;82.49766666666667;[386.418, 364.438, 321.313, 404.599, 407.296, 410.125, 427.097, 439.507, 412.189, 514.152, 634.639, 741.093];[457.96, 448.99, 434.24, 461.41, 433.74, 457.8, 441.89, 463.21, 481.82, 473.12, 463.72, 471.15];INICIO;2024-11-30;Selected the best models based on lowest RMSE: ETS (Statistical), NaiveMovingAverage (Naive), DWT_svr (SVR), DWT_rf (RF), DWT_catboost (Catboost). Combined predictions using selective_combine_tool.
8;12;simple_selective_agent_qwen3=14b;0.3753469661696471;36.36363636363637;0.4746001156310538;724.5220253123779;0.4745823664574686;648.0139166666667;[1167.948, 1141.0, 1155.5, 1387.44, 1392.5, 1585.0, 1500.474, 1933.403, 2023.0, 1862.222, 2144.0, 2088.56];[899.54, 908.8, 891.05, 978.26, 953.36, 951.89, 977.5, 996.82, 1018.58, 1021.69, 1016.28, 991.11];INICIO;2024-11-30;Selected the best models based on lowest RMSE: Statistical (THETA), Naive (NaiveMovingAverage), ML models (DWT_svr for SVR, ONLY_DWT_rf for RF, DWT_catboost for Catboost). Combined predictions using selective_combine_tool.
9;12;simple_selective_agent_qwen3=14b;0.0497008946068978;63.63636363636363;0.04809651339701978;12162.012991764574;0.048096501340325386;9612.514666666671;[228339.225, 199492.058, 175701.533, 194692.41, 196841.09, 200933.679, 185958.712, 196822.054, 201842.237, 197060.802, 206613.169, 201264.663];[212846.37, 203288.26, 205045.69, 206194.18, 203834.19, 207682.4, 202815.69, 203984.98, 205674.73, 205156.56, 204787.99, 204964.7];INICIO;2024-11-30;Combined predictions from the selected models: THETA (best Statistical), NaiveMovingAverage (best Naive), ONLY_DWT_rf (best RF representation), FT_svr (best SVR representation), and DWT_catboost (best Catboost representation).
