DATA;transformation;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;MCPM
error_normal;normal;ES;gasolinac;ARIMA+SVR;sum;12;12;3944.363554454637;0.03620704006342978;63.63636363636363;-0.10841777277431924;1.1274416599031365;62170.029179414836;86019.20350657166;78425.01257782808;80388.83960158315;80333.75636047925;84552.15328714256;83911.2584292955;85235.42093705581;82871.55687600808;81074.72404264387;89230.61833933405;81960.90637576491;80439.9454035033
error_noresid_normal;normal;ES;gasolinac;ARIMA+SVR;sum;12;12;4872.402333494083;0.050094486752402516;72.72727272727273;-1.2425816449214344;1.5688124116379527;57646.611518285084;82753.78099294537;78324.1678589925;79686.6316392525;81314.98614288683;88539.21120989717;88764.23613583155;86562.98676526471;83777.53536233334;83345.71944987886;88980.82907680185;84072.21612219379;79587.49792119654
error_resid_normal;normal;ES;gasolinac;ARIMA+SVR;sum;12;12;4145.801671669757;0.04256058550518708;54.54545454545455;-0.99362977732955;1.3342538791683947;81676.55014424815;84526.20271583615;81297.6194538894;82594.26385423237;83001.18590379787;86443.04017645578;84699.02271491106;85056.29588887138;84659.24244123673;81507.45196453764;85997.09566517014;84083.4955915434;79371.87807726764
all_resid_normal;normal;ES;gasolinac;ARIMA+SVR;sum;12;12;3829.2347869172504;0.04096729958643297;36.36363636363637;0.04062173412324864;1.2756164542755486;105584.97621825356;83642.28467404495;82259.57834670093;81803.383452274;83316.32856461777;82715.45334954394;81278.1102700042;84066.94853888516;82536.78338598438;79614.5071698254;89094.36967477313;82338.4764740329;80296.66343737338
error_log;log;ES;gasolinac;ARIMA+SVR;sum;12;12;4419.426303757274;0.03903701942819011;72.72727272727273;3.1420331090529783;1.259975448318851;52266.10283311;84689.20978362506;76759.8843028164;78575.62309397067;79816.25123347343;80345.63066581592;80461.52974835847;80594.77774658537;79475.37981236237;79641.05314609072;84310.0386542052;80779.63065472094;76705.49966156449
error_noresid_log;log;ES;gasolinac;ARIMA+SVR;sum;12;12;4994.586750717218;0.044849699002895586;72.72727272727273;2.659313012596597;1.4580568182052143;59080.78616202112;80346.65286752657;74903.09791010217;77914.06241697834;80481.69246277465;84476.63830589707;84788.5525087607;82389.02789623888;82223.56559906401;81405.22531408201;83974.86841680849;79594.47023966958;74451.83385820389
error_resid_log;log;ES;gasolinac;ARIMA+SVR;sum;12;12;4456.363820875281;0.036610387596935585;45.45454545454545;2.718156839531852;1.2053348753528015;105325.80884908994;81742.41614578263;79938.11172017956;79208.73761347131;82703.9169060322;81865.75919894467;80657.75741920041;81233.04645328455;81385.90566270493;80286.7322050869;83417.7949575489;80267.22457381281;73657.75012892412
all_resid_log;log;ES;gasolinac;ARIMA+SVR;sum;12;12;4817.577311203223;0.04819380184213809;54.54545454545455;3.262415412255458;1.549094464395849;94922.9465044755;81832.63561065788;79661.51577146855;80241.41053701808;84002.64458549795;78702.22525381131;78208.74762607187;78511.98297279263;79624.62436015237;78229.14275750967;83128.58072151865;82103.4003476492;76711.7605958431
error_deseasonal;deseasonal;ES;gasolinac;ARIMA+SVR;sum;12;12;3615.6400531652507;0.03506983710122334;63.63636363636363;-0.7613715296933661;1.083626712900828;56987.024304287654;85055.89005838793;82991.9350389556;84287.84164494716;83683.10609269122;84594.4090754065;82545.8995069222;82601.7664394004;81327.49202621843;80029.38370673677;87727.72694338193;85485.1111177417;80599.05738048724
error_noresid_deseasonal;deseasonal;ES;gasolinac;ARIMA+SVR;sum;12;12;4073.601316342553;0.04084421638130765;72.72727272727273;-1.1464557854198583;1.2749267185511248;48179.46775247752;81160.00518937244;79812.06443933264;84257.5725070272;83697.81146742265;89553.2496209452;84875.93870165387;83575.68490172128;82658.40651390496;80707.49386019926;89116.23752862841;86583.52643912245;78756.9255085322
error_resid_deseasonal;deseasonal;ES;gasolinac;ARIMA+SVR;sum;12;12;3750.4205712250937;0.03906932210517628;36.36363636363637;-1.026303777786476;1.2137230773216277;103408.68993353602;82510.76965293773;83867.42064598265;84051.90058792061;86717.7624813844;85301.77151207418;82206.36073884096;82745.60836122117;82166.80106879685;80925.4332789646;89190.11680756582;85548.35693641019;78329.06492099275
all_resid_deseasonal;deseasonal;ES;gasolinac;ARIMA+SVR;sum;12;12;4253.638147969435;0.04256957848813752;45.45454545454545;-0.5569945581814806;1.316790813490684;100545.55969065579;81640.66491242661;85668.51359073425;88390.67555875766;86488.34030806388;81699.59490662828;79525.00620558446;82387.6809113416;82074.78853500838;79736.97374079336;87631.36656053702;83446.02649792693;80209.77511870032
