comparates,orchestrator_react_gpt-oss,orchestrator_react_qwen,median,FFORMA,ADE,mean,dba
orchestrator_react_gpt-oss,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0001
0 / 6 / 1
0.0000 / 1.0000 / 0.0000
0.3173","-0.0021
1 / 4 / 2
0.0000 / 0.9996 / 0.0004
0.4456","-0.0241
2 / 0 / 5
0.0684 / 0.0476 / 0.8840
0.2188","-0.0468
3 / 0 / 4
0.0623 / 0.0063 / 0.9313
0.2188","-1.5403
0 / 0 / 7
0.0000 / 0.0018 / 0.9982
0.0156","-1.5463
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
orchestrator_react_qwen,"0.0001
1 / 6 / 0
0.0000 / 1.0000 / 0.0000
0.3173",-,"-0.0020
1 / 4 / 2
0.0000 / 0.9997 / 0.0003
0.4456","-0.0241
2 / 0 / 5
0.0701 / 0.0483 / 0.8816
0.2188","-0.0467
3 / 0 / 4
0.0647 / 0.0062 / 0.9291
0.2188","-1.5402
0 / 0 / 7
0.0000 / 0.0018 / 0.9982
0.0156","-1.5462
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
median,"0.0021
2 / 4 / 1
0.0003 / 0.9997 / 0.0000
0.4456","0.0020
2 / 4 / 1
0.0004 / 0.9996 / 0.0000
0.4456",-,"-0.0220
2 / 0 / 5
0.1044 / 0.0164 / 0.8792
0.1562","-0.0446
3 / 0 / 4
0.0545 / 0.0053 / 0.9401
0.2188","-1.5382
0 / 0 / 7
0.0000 / 0.0018 / 0.9982
0.0156","-1.5442
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156"
FFORMA,"0.0241
5 / 0 / 2
0.8832 / 0.0459 / 0.0708
0.2188","0.0241
5 / 0 / 2
0.8837 / 0.0459 / 0.0704
0.2188","0.0220
5 / 0 / 2
0.8847 / 0.0171 / 0.0982
0.1562",-,"-0.0226
3 / 0 / 4
0.0000 / 0.4361 / 0.5639
0.2188","-1.5162
0 / 0 / 7
0.0000 / 0.0018 / 0.9982
0.0156","-1.5222
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
ADE,"0.0468
4 / 0 / 3
0.9333 / 0.0051 / 0.0617
0.2188","0.0467
4 / 0 / 3
0.9297 / 0.0053 / 0.0650
0.2188","0.0446
4 / 0 / 3
0.9405 / 0.0053 / 0.0542
0.2188","0.0226
4 / 0 / 3
0.5673 / 0.4327 / 0.0000
0.2188",-,"-1.4936
0 / 0 / 7
0.0000 / 0.0016 / 0.9984
0.0156","-1.4996
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156"
mean,"1.5403
7 / 0 / 0
0.9985 / 0.0015 / 0.0000
0.0156","1.5402
7 / 0 / 0
0.9983 / 0.0017 / 0.0000
0.0156","1.5382
7 / 0 / 0
0.9985 / 0.0015 / 0.0000
0.0156","1.5162
7 / 0 / 0
0.9984 / 0.0016 / 0.0000
0.0156","1.4936
7 / 0 / 0
0.9982 / 0.0018 / 0.0000
0.0156",-,"-0.0060
4 / 2 / 1
0.0000 / 0.8957 / 0.1043
0.3438"
dba,"1.5463
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","1.5462
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","1.5442
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.5222
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.4996
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","0.0060
1 / 2 / 4
0.1027 / 0.8973 / 0.0000
0.3438","If in bold, then
p-value < 0.05"
