DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
normal;105722.13318360133;PE;etanolhidratado;arma;{'p': 12, 'd': 0, 'q': 21};12;12;5347.862750988868;0.19841920159721216;54.54545454545455;12.815178629344798;0.5673853103407187;19896.27320929885;18246.66622218182;17108.557620723554;16915.67009915204;17247.646349955503;18303.68624754783;16885.825968801877;16922.551318271548;16019.792806988151;19330.744651690893;17510.952091899406;16517.090381492744
log;188564.57811449884;PE;etanolhidratado;arma;{'p': 24, 'd': 0, 'q': 19};12;12;5970.422023251159;0.20829022957809248;27.272727272727273;16.820584088503967;0.6079425112172139;17602.523403668216;16452.769691512683;17035.31057862365;16823.30152955037;18529.28208835377;17239.140686775583;16111.666475427226;15196.649275312755;16168.195270942339;18180.775223315348;15476.631290778038;16399.888754845713
deseasonal;64985.786738081304;PE;etanolhidratado;arma;{'p': 15, 'd': 0, 'q': 19};12;12;3293.9052377867074;0.10639180443063806;54.54545454545455;9.519869158162743;0.3086728712165988;17365.16122797629;16195.059854200343;17178.21896951106;14304.027669531357;14757.350496779072;16723.472302148373;16641.925756276007;19740.57806988467;20736.174959377884;24439.690752464678;20857.162903685963;19938.19073983372
