comparates,orchestrator_react_gpt-oss,orchestrator_react_qwen,median,FFORMA,ADE,dba,mean
orchestrator_react_gpt-oss,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0173
1 / 4 / 2
0.0000 / 0.6128 / 0.3872
0.4456","-0.0326
0 / 0 / 7
0.0000 / 0.0993 / 0.9007
0.0156","-0.0725
0 / 0 / 7
0.0000 / 0.0051 / 0.9949
0.0156","-0.1675
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156","-1.7724
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156","-1.7724
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
orchestrator_react_qwen,"0.0173
2 / 4 / 1
0.3857 / 0.6143 / 0.0000
0.4456",-,"-0.0153
1 / 0 / 6
0.0671 / 0.1573 / 0.7756
0.2188","-0.0551
1 / 0 / 6
0.0034 / 0.0145 / 0.9820
0.0781","-0.1502
1 / 0 / 6
0.0005 / 0.0003 / 0.9992
0.0312","-1.7551
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156","-1.7551
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
median,"0.0326
7 / 0 / 0
0.9036 / 0.0964 / 0.0000
0.0156","0.0153
6 / 0 / 1
0.7754 / 0.1580 / 0.0665
0.2188",-,"-0.0399
1 / 0 / 6
0.0000 / 0.0560 / 0.9440
0.0469","-0.1349
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156","-1.7398
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156","-1.7398
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156"
FFORMA,"0.0725
7 / 0 / 0
0.9951 / 0.0049 / 0.0000
0.0156","0.0551
6 / 0 / 1
0.9833 / 0.0139 / 0.0028
0.0781","0.0399
6 / 0 / 1
0.9416 / 0.0584 / 0.0000
0.0469",-,"-0.0950
0 / 0 / 7
0.0000 / 0.0003 / 0.9997
0.0156","-1.6999
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156","-1.6999
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156"
ADE,"0.1675
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","0.1502
6 / 0 / 1
0.9990 / 0.0005 / 0.0005
0.0312","0.1349
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","0.0950
7 / 0 / 0
0.9997 / 0.0003 / 0.0000
0.0156",-,"-1.6049
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156","-1.6049
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156"
dba,"1.7724
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.7551
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","1.7398
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.6999
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.6049
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156",-,"-0.0000
1 / 1 / 5
0.0000 / 1.0000 / 0.0000
0.0511"
mean,"1.7724
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.7551
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.7398
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.6999
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","1.6049
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","0.0000
5 / 1 / 1
0.0000 / 1.0000 / 0.0000
0.0511","If in bold, then
p-value < 0.05"
