DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
normal;150925.76237844347;BA;etanolhidratado;ARIMA;{'p': 11, 'd': 1, 'q': 20};12;12;12654.452086295198;0.27020753583815743;72.72727272727273;7.804518502704746;0.8531557738676915;50248.67405209989;49458.46197602911;43598.84103075213;39456.130409777914;32013.403691685482;33959.719627617946;37325.52483507481;35946.76989422277;33413.0567819239;41965.58456579373;43981.693634908275;35066.48824153785;-3.5553291191408234;0.006674761459739818;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;True
deseasonal;142076.33339029705;BA;etanolhidratado;ARIMA;{'p': 7, 'd': 1, 'q': 6};12;12;11953.465757071002;0.1759178501162043;72.72727272727273;20.268122764449345;0.6553636883279911;34579.38256779744;33248.07943126587;31752.50188045286;32352.882394453933;32958.362167185805;33926.20784989134;35543.70926743213;36270.0105686926;33992.10561988611;37922.16937626887;36729.39486447771;32751.948335997626;-3.4765561531469875;0.008609994585108374;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;True
log;321386.72051427694;BA;etanolhidratado;ARIMA;{'p': 7, 'd': 1, 'q': 14};12;12;11626.187357880808;0.20210330431328194;36.36363636363637;13.984824449104815;0.7051479007863136;36331.8298031751;37443.38817457658;36679.71469337993;39301.568923620274;38609.48446488295;37902.65873208917;36259.67580690914;33743.546579790345;33807.21138871716;37232.84021237075;38563.65382906216;38621.093387712164;-3.5570217653402283;0.006637879215961549;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;True
