DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
normal;204257.71892785258;PE;etanolhidratado;ARIMA;{'p': 13, 'd': 2, 'q': 18};12;12;8604.207337361919;0.276321066783829;45.45454545454545;29.579488410357058;0.8402891895334162;18999.083093260124;16314.943734687175;15245.90916254757;15740.675565322992;15224.5264287333;11437.949446721865;11109.363536425604;14953.810006809894;14002.147851465055;13637.777549409191;10964.787760962248;12720.584119335654;-3.9099047672516374;0.0019631506846505653;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;True
deseasonal;84671.35404582653;PE;etanolhidratado;ARIMA;{'p': 12, 'd': 1, 'q': 15};12;12;7102.063844944721;0.25913573705546655;72.72727272727273;28.845211148445777;0.755462149532087;14605.471039163387;13665.752790170523;13689.869813677658;14126.920028122293;13766.859083551304;13769.845784387986;13948.894198695785;14794.866342463338;14096.76284529339;17038.566332081777;15080.382050901411;13543.629904585629;-4.661691869614886;9.925997540498675e-05;8;388;-3.4473167281607155;-2.869018036958473;-2.5707536074503134;True
log;249151.0165173354;PE;etanolhidratado;ARIMA;{'p': 21, 'd': 2, 'q': 18};12;12;8996.285747362948;0.3199491771862772;36.36363636363637;30.63539130094358;0.9376691744495861;18175.82077061115;18195.893882015283;13832.114597222451;14857.689674039362;17514.207138110425;12482.757405517294;9677.064768884316;11600.62694940392;14498.461719117178;12130.994505430637;10318.624015443293;14513.008651702361;-3.746060336691889;0.003509994798226087;11;385;-3.4474498334928687;-2.8690765390453703;-2.570784795075055;True
